Job;Operation;ToolSet;Processing Time
172;199;52;150
20;29;80;64
7;147;72;174
267;162;66;25
360;170;5;4
392;120;10;39
219;168;149;161
372;174;153;66
98;32;156;80
100;169;13;119
481;105;109;140
103;50;114;105
304;39;120;112
163;43;142;156
39;67;21;120
664;113;118;12
28;15;26;175
25;4;150;26
126;49;151;129
251;33;116;4
17;146;159;34
294;190;101;164
204;175;170;79
362;88;73;28
68;208;81;159
101;212;82;103
220;70;44;22
142;164;89;9
38;34;167;78
203;77;152;80
69;213;196;169
253;142;47;97
35;131;158;178
432;119;56;129
911;72;68;136
539;217;6;14
287;61;30;149
49;11;75;25
180;57;147;20
205;202;201;32
80;75;29;35
462;9;36;130
843;117;124;30
50;94;130;170
125;195;16;142
502;167;58;155
34;150;100;144
99;145;132;45
145;151;41;98
301;160;74;22
518;149;97;179
254;22;155;30
110;62;157;179
263;47;208;73
358;21;33;89
19;194;98;74
578;103;103;21
16;101;126;94
382;30;8;132
582;97;49;36
13;65;79;51
146;218;17;51
76;107;24;10
140;98;102;115
85;133;11;131
41;54;40;44
403;144;90;22
334;138;96;169
605;152;189;105
115;173;50;20
218;172;71;60
464;139;99;164
114;71;107;86
265;87;70;55
299;180;76;46
368;166;84;40
61;140;202;52
62;171;3;90
327;24;12;148
342;112;15;53
194;143;39;34
171;132;43;112
733;116;61;154
456;141;125;97
71;159;141;115
55;42;164;144
107;91;174;110
236;76;67;83
149;118;119;55
734;114;129;98
211;191;131;44
281;158;134;75
53;197;146;18
431;74;163;93
37;27;55;51
24;78;83;68
60;84;104;37
116;17;112;42
8;108;115;77
258;186;145;78
42;124;180;125
51;129;7;146
0;12;25;46
141;126;46;81
22;31;60;127
291;51;65;31
93;95;93;94
92;68;165;8
94;56;207;73
14;189;62;90
138;187;78;157
152;26;117;52
108;155;154;114
181;83;173;64
56;110;177;17
249;201;178;69
580;106;193;142
230;13;77;105
82;38;87;15
439;192;198;66
238;5;2;147
600;41;42;128
117;85;53;135
10;115;95;103
3;2;111;49
102;193;148;151
4;35;23;97
195;89;28;64
189;58;92;125
448;184;94;75
275;148;171;148
44;80;204;156
199;19;212;177
75;18;27;60
223;207;176;14
243;86;203;159
197;165;210;18
6;82;45;131
104;178;105;141
544;157;127;31
547;122;168;138
162;134;20;32
156;64;179;66
248;53;183;157
83;3;31;75
18;93;38;5
97;183;19;164
144;204;34;109
179;181;37;11
12;188;22;53
216;7;85;137
269;136;110;160
