Operation;Job;ToolSet;Processing Time
000;31;532;68
001;39;132;39
002;47;3320;11
003;33;2076;28
004;10;3396;130
005;24;3272;147
006;9;197;150
007;5;566;45
008;15;2226;106
009;12;89;74
010;3;1574;34
011;15;2226;106
012;40;85;41
013;44;2967;106
014;50;969;95
015;14;1354;138
016;42;3224;25
017;25;93;24
018;50;969;95
019;47;3320;11
020;7;3173;122
021;44;2967;106
022;10;3396;130
023;40;85;41
024;23;1707;101
025;10;3396;130
026;34;2119;160
027;36;111;174
028;33;2076;28
029;17;148;165
030;18;2870;114
031;33;2076;28
032;4;461;168
033;38;196;16
034;16;3130;163
035;6;3238;92
036;34;2119;160
037;38;196;16
038;22;62;158
039;22;62;158
040;13;102;113
041;37;2413;4
042;40;85;41
043;19;486;53
044;10;3396;130
045;13;102;113
046;16;3130;163
047;44;2967;106
048;24;3272;147
049;37;2413;4
050;26;3245;59
051;18;2870;114
052;22;62;158
053;34;2119;160
054;17;148;165
055;7;3173;122
056;11;564;134
057;23;1707;101
058;18;2870;114
059;5;566;45
060;15;2226;106
061;40;85;41
062;11;564;134
063;16;3130;163
064;47;3320;11
065;2;2012;117
066;2;2012;117
067;50;969;95
068;34;2119;160
069;22;62;158
070;37;2413;4
071;47;3320;11
072;14;1354;138
073;4;461;168
074;8;3408;166
075;35;1647;11
076;5;566;45
077;1;2350;19
078;23;1707;101
079;4;461;168
080;38;196;16
081;27;16;152
082;27;16;152
083;28;1087;54
084;35;1647;11
085;40;85;41
086;46;925;50
087;28;1087;54
088;13;102;113
089;11;564;134
090;33;2076;28
091;30;2200;65
092;50;969;95
093;19;486;53
094;15;2226;106
095;24;3272;147
096;32;3266;89
097;9;197;150
098;32;3266;89
099;6;3238;92
100;50;969;95
101;48;469;17
102;11;564;134
103;40;85;41
104;6;3238;92
105;32;3266;89
106;50;969;95
107;18;2870;114
108;27;16;152
109;16;3130;163
110;23;1707;101
111;11;564;134
112;9;197;150
113;6;3238;92
114;39;132;39
115;10;3396;130
116;31;532;68
117;47;3320;11
118;49;511;61
119;24;3272;147
120;37;2413;4
121;41;2058;178
122;9;197;150
123;16;3130;163
124;9;197;150
125;36;111;174
126;25;93;24
127;3;1574;34
128;40;85;41
129;19;486;53
130;43;1694;53
131;10;3396;130
132;50;969;95
133;29;2993;168
134;12;89;74
135;8;3408;166
136;25;93;24
137;17;148;165
138;37;2413;4
139;32;3266;89
140;32;3266;89
141;12;89;74
142;17;148;165
143;6;3238;92
144;37;2413;4
145;23;1707;101
146;3;1574;34
147;3;1574;34
148;28;1087;54
149;6;3238;92
150;7;3173;122
151;10;3396;130
152;20;2772;18
153;46;925;50
154;4;461;168
155;50;969;95
156;14;1354;138
157;43;1694;53
158;28;1087;54
159;27;16;152
160;37;2413;4
161;49;511;61
162;1;2350;19
163;12;89;74
164;4;461;168
165;47;3320;11
166;9;197;150
167;34;2119;160
168;1;2350;19
169;32;3266;89
170;7;3173;122
171;11;564;134
172;26;3245;59
173;40;85;41
174;5;566;45
175;39;132;39
176;37;2413;4
177;11;564;134
178;26;3245;59
179;14;1354;138
180;32;3266;89
181;13;102;113
182;43;1694;53
183;45;636;4
184;24;3272;147
185;4;461;168
186;28;1087;54
187;36;111;174
188;18;2870;114
189;43;1694;53
190;8;3408;166
191;13;102;113
192;45;636;4
193;14;1354;138
194;30;2200;65
195;43;1694;53
196;5;566;45
197;2;2012;117
198;37;2413;4
199;50;969;95
200;22;62;158
201;23;1707;101
202;11;564;134
203;11;564;134
204;32;3266;89
205;18;2870;114
206;39;132;39
207;12;89;74
208;23;1707;101
209;32;3266;89
210;24;3272;147
211;1;2350;19
212;18;2870;114
213;15;2226;106
214;46;925;50
215;10;3396;130
216;37;2413;4
217;6;3238;92
218;28;1087;54
219;4;461;168
220;47;3320;11
221;20;2772;18
222;17;148;165
223;23;1707;101
224;38;196;16
225;15;2226;106
226;33;2076;28
227;36;111;174
228;21;3263;168
229;44;2967;106
230;45;636;4
231;44;2967;106
232;39;132;39
233;21;3263;168
234;23;1707;101
235;1;2350;19
236;41;2058;178
237;29;2993;168
238;22;62;158
239;19;486;53
240;27;16;152
241;7;3173;122
242;2;2012;117
243;4;461;168
244;26;3245;59
245;48;469;17
246;40;85;41
247;24;3272;147
248;42;3224;25
249;20;2772;18
