Job;Operation;ToolSet;Processing Time
77;205;51;87
172;199;52;150
30;6;88;8
301;142;1173;79
20;29;80;64
7;147;72;174
267;162;66;25
288;133;1864;87
40;44;434;164
360;170;5;4
145;88;2534;174
53;84;3462;60
20;7;3173;122
392;120;10;39
219;168;149;161
372;174;153;66
50;26;3245;59
98;32;156;80
428;144;2281;69
100;169;13;119
481;105;109;140
103;50;114;105
304;39;120;112
163;43;142;156
232;22;2459;57
103;27;2529;62
39;67;21;120
664;113;118;12
15;14;1354;138
28;15;26;175
25;4;150;26
126;49;151;129
13;134;2517;180
83;41;1489;101
251;33;116;4
17;146;159;34
307;15;283;39
294;190;101;164
204;175;170;79
11;107;2362;14
228;21;3263;168
362;88;73;28
68;208;81;159
101;212;82;103
220;70;44;22
240;18;2763;32
9;12;89;74
74;8;3408;166
38;34;167;78
17;95;1130;83
117;55;1872;180
203;77;152;80
33;38;196;16
253;142;47;97
35;131;158;178
8;15;2226;106
45;60;1952;39
432;119;56;129
911;72;68;136
254;7;3186;61
44;112;1965;39
14;6;6;151
287;61;30;149
49;11;75;25
552;106;147;121
205;202;201;32
121;41;2058;178
80;75;29;35
462;9;36;130
310;26;2115;29
356;3;124;88
50;94;130;170
179;66;1886;148
81;27;16;152
502;167;58;155
34;150;100;144
1;39;132;39
19;120;2323;164
1;28;2886;65
145;151;41;98
26;34;2119;160
301;160;74;22
518;149;97;179
254;22;155;30
333;105;157;62
263;47;208;73
16;42;3224;25
65;2;2012;117
358;21;33;89
19;194;98;74
578;103;103;21
16;101;126;94
382;30;8;132
582;97;49;36
13;65;79;51
121;137;2552;53
93;24;524;115
69;73;665;33
294;39;846;52
134;78;1517;94
146;218;17;51
76;107;24;10
40;13;102;113
14;50;969;95
49;48;1111;73
66;96;1127;161
192;68;1413;44
21;132;1893;109
85;133;11;131
41;54;40;44
403;144;90;22
334;138;96;169
605;152;189;105
29;70;389;44
35;25;2954;4
126;50;1198;34
86;87;1312;175
92;138;1863;131
57;111;1999;98
115;173;50;20
218;172;71;60
464;139;99;164
114;71;107;86
7;5;566;45
95;139;1530;137
265;87;70;55
299;180;76;46
368;166;84;40
61;140;202;52
77;1;2350;19
9;63;2487;63
154;8;552;114
351;114;586;62
386;109;1343;156
2;52;1658;172
132;54;1904;77
7;122;2004;31
62;171;3;90
107;62;2062;12
342;112;15;53
327;24;12;148
194;143;39;34
171;132;43;112
733;116;61;154
152;77;125;81
71;159;141;115
55;42;164;144
73;20;2218;84
107;91;174;110
99;90;2464;153
0;31;532;68
26;51;559;41
105;110;707;66
114;75;1008;81
191;141;3140;143
84;83;1562;15
236;76;67;83
75;115;2134;115
149;118;119;55
734;114;129;98
211;191;131;44
281;158;134;75
53;197;146;18
91;30;2200;65
431;74;163;93
27;72;2403;105
28;101;2516;144
101;48;469;17
334;56;3137;136
20;116;1804;73
144;94;55;60
24;78;83;68
60;84;104;37
116;17;112;42
8;108;115;77
258;186;145;78
42;124;180;125
41;117;336;34
38;124;377;76
35;6;3238;92
42;13;1265;71
267;5;1745;83
51;129;7;146
0;12;25;46
141;126;46;81
22;31;60;127
291;51;65;31
17;25;93;24
92;68;165;8
94;56;207;73
23;42;422;157
80;65;2574;77
700;49;558;93
5;98;1526;66
38;22;62;158
138;187;78;157
152;26;117;52
108;155;154;114
181;83;173;64
56;110;177;17
249;201;178;69
580;106;193;142
32;4;461;168
118;49;511;61
18;100;1052;134
119;1;3150;68
96;32;3266;89
200;10;1260;155
31;104;1478;72
444;91;1873;172
111;58;1912;23
230;13;77;105
82;38;87;15
439;192;198;66
4;103;610;44
252;2;782;152
113;31;1030;89
83;28;1087;54
5;24;3272;147
8;121;1253;136
75;35;1647;11
85;113;1738;27
238;5;2;147
600;41;42;128
117;85;53;135
10;115;95;103
166;85;439;172
225;11;1612;98
77;43;1624;45
155;128;1748;131
193;29;2049;77
27;36;111;174
29;17;148;165
0;76;475;55
128;64;3172;78
4;35;23;97
195;89;28;64
189;58;92;125
448;184;94;75
275;148;171;148
44;80;204;156
199;19;212;177
138;47;2850;136
217;99;2945;150
86;46;925;50
230;35;1192;120
130;43;1694;53
87;148;1974;36
75;18;27;60
223;207;176;14
243;86;203;159
197;165;210;18
183;45;636;4
269;135;740;24
292;12;1250;169
350;46;1710;27
6;82;45;131
104;178;105;141
32;30;630;104
245;97;2921;60
54;81;3024;91
33;92;1683;143
544;157;127;31
547;122;168;138
79;93;3337;21
25;9;1291;84
10;3;1574;34
115;14;1744;123
162;134;20;32
408;149;2349;78
82;17;473;121
205;67;550;168
56;11;564;134
13;44;2967;106
34;16;3130;163
169;37;1083;139
34;71;1946;49
156;64;179;66
248;53;183;157
3;38;2418;42
58;129;971;77
22;89;1115;109
68;79;3286;162
37;21;1433;50
24;23;1707;101
83;3;31;75
18;93;38;5
365;145;2303;166
522;32;2315;4
97;183;19;164
144;204;34;109
100;127;37;100
41;37;2413;4
24;130;528;12
30;18;2870;114
133;29;2993;168
486;118;2994;87
91;69;1009;149
2;47;3320;11
12;188;22;53
12;40;85;41
174;33;2409;148
142;82;2672;121
152;20;2772;18
326;34;959;150
4;10;3396;130
188;126;1899;21
3;33;2076;28
43;19;486;53
269;136;110;160
209;74;2360;36
116;123;2364;152
6;125;2474;90
46;61;2608;170
