Job;Operation;ToolSet;Processing Time;Priority
0;0;31;75;1
1;0;171;148;1
1;1;171;148;1
2;0;20;32;1
3;0;68;136;1
3;1;68;136;1
4;0;95;103;1
4;1;95;103;1
5;0;207;73;1
5;1;207;73;1
6;0;37;11;1
7;0;146;18;1
8;0;77;105;1
9;0;120;112;1
10;0;12;148;1
11;0;49;36;1
12;0;92;125;1
12;1;92;125;1
13;0;147;20;1
14;0;84;40;1
15;0;27;60;1
16;0;159;34;1
17;0;203;159;1
17;1;203;159;1
18;0;50;20;1
18;1;50;20;1
19;0;170;79;1
20;0;105;141;1
20;1;105;141;1
21;0;39;34;1
22;0;45;131;1
22;1;45;131;1
23;0;208;73;1
24;0;130;170;1
24;1;130;170;1
25;0;66;25;1
26;0;183;157;1
27;0;76;46;1
28;0;41;98;1
28;1;41;98;1
29;0;102;115;1
30;0;55;51;1
31;0;189;105;1
32;0;126;94;1
32;1;126;94;1
33;0;174;110;1
33;1;174;110;1
34;0;157;179;1
34;1;157;179;1
35;0;125;97;1
35;1;125;97;1
36;0;40;44;1
37;0;38;5;1
37;1;38;5;1
38;0;210;18;1
38;1;210;18;1
39;0;33;89;1
40;0;72;174;1
41;0;53;135;1
41;1;53;135;1
42;0;26;175;1
42;1;26;175;1
43;0;196;169;1
44;0;87;15;1
45;0;17;51;1
46;0;104;37;1
47;0;97;179;1
48;0;85;137;1
49;0;100;144;1
50;0;110;160;1
51;0;96;169;1
52;0;116;4;1
53;0;119;55;1
53;1;119;55;1
54;0;150;26;1
55;0;145;78;1
55;1;145;78;1
56;0;6;14;1
57;0;89;9;1
58;0;11;131;1
59;0;23;97;1
60;0;56;129;1
60;1;56;129;1
61;0;21;120;1
62;0;204;156;1
63;0;82;103;1
63;1;82;103;1
64;0;132;45;1
65;0;74;22;1
66;0;149;161;1
66;1;149;161;1
67;0;83;68;1
67;1;83;68;1
68;0;117;52;1
69;0;78;157;1
70;0;94;75;1
70;1;94;75;1
71;0;10;39;1
72;0;93;94;1
73;0;114;105;1
74;0;178;69;1
74;1;178;69;1
75;0;29;35;1
75;1;29;35;1
76;0;22;53;1
76;1;22;53;1
77;0;107;86;0
78;0;99;164;0
79;0;47;97;0
80;0;52;150;0
80;1;52;150;0
81;0;58;155;0
82;0;36;130;0
82;1;36;130;0
83;0;70;55;0
84;0;212;177;0
85;0;34;109;0
86;0;98;74;0
87;0;202;52;0
88;0;28;64;0
89;0;19;164;0
90;0;164;144;0
90;1;164;144;0
91;0;30;149;0
91;1;30;149;0
92;0;24;10;0
92;1;24;10;0
93;0;177;17;0
93;1;177;17;0
94;0;103;21;0
95;0;2;147;0
96;0;13;119;0
97;0;134;75;0
98;0;15;53;0
99;0;62;90;0
99;1;62;90;0
100;0;8;132;0
100;1;8;132;0
101;0;176;14;0
102;0;155;30;0
102;1;155;30;0
103;0;179;66;0
104;0;158;178;0
105;0;109;140;0
105;1;109;140;0
106;0;46;81;0
106;1;46;81;0
107;0;141;115;0
108;0;148;151;0
108;1;148;151;0
109;0;5;4;0
110;0;60;127;0
110;1;60;127;0
111;0;112;42;0
111;1;112;42;0
112;0;154;114;0
113;0;81;159;0
114;0;75;25;0
114;1;75;25;0
115;0;131;44;0
116;0;90;22;0
117;0;73;28;0
118;0;152;80;0
118;1;152;80;0
119;0;42;128;0
120;0;16;142;0
120;1;16;142;0
121;0;129;98;0
121;1;129;98;0
122;0;80;64;0
123;0;168;138;0
124;0;65;31;0
124;1;65;31;0
125;0;153;66;0
126;0;101;164;0
127;0;193;142;0
128;0;67;83;0
129;0;201;32;0
129;1;201;32;0
130;0;111;49;0
130;1;111;49;0
131;0;173;64;0
132;0;79;51;0
132;1;79;51;0
133;0;165;8;0
134;0;43;112;0
135;0;167;78;0
135;1;167;78;0
136;0;44;22;0
137;0;156;80;0
137;1;156;80;0
138;0;3;90;0
138;1;3;90;0
139;0;25;46;0
139;1;25;46;0
140;0;151;129;0
141;0;163;93;0
142;0;115;77;0
143;0;127;31;0
144;0;124;30;0
145;0;198;66;0
145;1;198;66;0
146;0;71;60;0
146;1;71;60;0
147;0;142;156;0
148;0;118;12;0
148;1;118;12;0
149;0;7;146;0
149;1;7;146;0
150;0;180;125;0
150;1;180;125;0
151;0;61;154;0
