Job,Operation,ToolSet,Processing Time,Priority
0,0,1083,139,True
0,1,1083,139,True
1,0,1612,98,True
1,1,1612,98,True
2,0,3024,91,True
2,1,3024,91,True
3,0,2281,69,True
3,1,2281,69,True
4,0,3172,78,True
5,0,559,41,True
5,1,559,41,True
6,0,1974,36,True
7,0,1952,39,True
8,0,124,88,True
9,0,524,115,True
9,1,524,115,True
10,0,1864,87,True
10,1,1864,87,True
11,0,2850,136,True
11,1,2850,136,True
12,0,2474,90,True
12,1,2474,90,True
13,0,187,176,True
14,0,1537,131,True
15,0,1873,172,True
16,0,1433,50,True
16,1,1433,50,True
17,0,971,77,True
18,0,1530,137,True
19,0,1562,15,True
20,0,1253,136,True
21,0,3337,21,True
21,1,3337,21,True
22,0,2049,77,True
22,1,2049,77,True
23,0,1111,73,True
23,1,1111,73,True
24,0,1710,27,True
24,1,1710,27,True
25,0,3150,68,True
25,1,3150,68,True
26,0,558,93,True
27,0,1250,169,True
28,0,439,172,True
28,1,439,172,True
29,0,2349,78,True
30,0,2418,42,True
31,0,125,81,True
32,0,959,150,True
33,0,1893,109,True
33,1,1893,109,True
34,0,2954,4,True
35,0,3186,61,True
35,1,3186,61,True
36,0,1413,44,True
36,1,1413,44,True
37,0,2218,84,True
37,1,2218,84,True
38,0,2921,60,True
38,1,2921,60,True
39,0,2315,4,True
39,1,2315,4,True
40,0,1489,101,True
41,0,434,164,True
41,1,434,164,True
42,0,2459,57,True
43,0,1886,148,True
43,1,1886,148,True
44,0,2004,31,True
44,1,2004,31,True
45,0,1683,143,True
46,0,188,22,True
46,1,188,22,True
47,0,707,66,True
47,1,707,66,True
48,0,336,34,True
48,1,336,34,True
49,0,921,147,True
49,1,921,147,True
50,0,2574,77,True
51,0,2672,121,True
51,1,2672,121,True
52,0,3462,60,True
52,1,3462,60,True
53,0,1890,137,True
53,1,1890,137,True
54,0,1009,149,True
55,0,1748,131,True
56,0,1745,83,True
56,1,1745,83,True
57,0,630,104,True
57,1,630,104,True
58,0,2360,36,True
58,1,2360,36,True
59,0,1312,175,True
59,1,1312,175,True
60,0,37,100,True
60,1,37,100,True
61,0,1658,172,True
61,1,1658,172,True
62,0,1804,73,True
62,1,1804,73,True
63,0,473,121,True
63,1,473,121,True
64,0,422,157,True
64,1,422,157,True
65,0,2323,164,True
66,0,610,44,True
67,0,197,88,True
68,0,1343,156,True
69,0,1899,21,True
69,1,1899,21,True
70,0,566,51,True
71,0,147,121,True
71,1,147,121,True
72,0,3140,143,True
73,0,1008,81,True
73,1,1008,81,True
74,0,1115,109,True
74,1,1115,109,True
75,0,1863,131,True
76,0,55,60,True
76,1,55,60,True
77,0,1260,155,True
78,0,2134,115,True
78,1,2134,115,True
79,0,3137,136,True
79,1,3137,136,True
80,0,1872,180,True
80,1,1872,180,True
81,0,2886,65,True
82,0,2763,32,True
83,0,475,55,True
84,0,136,99,True
85,0,2403,105,True
85,1,2403,105,True
86,0,1965,39,True
87,0,2608,170,True
88,0,782,152,True
89,0,1478,72,True
90,0,1912,23,True
90,1,1912,23,True
91,0,1904,77,True
92,0,1526,66,True
92,1,1526,66,True
93,0,2339,7,True
93,1,2339,7,True
94,0,2945,150,True
94,1,2945,150,True
95,0,377,76,True
95,1,377,76,True
96,0,1052,134,True
97,0,2364,152,True
97,1,2364,152,True
98,0,2119,96,True
98,1,2119,96,True
99,0,1130,83,True
99,1,1130,83,True
100,0,528,12,True
100,1,528,12,True
101,0,586,62,True
101,1,586,62,True
102,0,278,139,True
103,0,2552,53,True
103,1,2552,53,True
104,0,1192,120,True
105,0,1946,49,True
105,1,1946,49,True
106,0,1624,45,True
106,1,1624,45,True
107,0,2409,148,True
107,1,2409,148,True
108,0,157,62,False
108,1,157,62,False
109,0,283,39,False
109,1,283,39,False
110,0,3286,162,False
111,0,1173,79,False
111,1,1173,79,False
112,0,1291,84,False
112,1,1291,84,False
113,0,2517,180,False
114,0,132,165,False
114,1,132,165,False
115,0,2362,14,False
116,0,550,168,False
116,1,550,168,False
117,0,2464,153,False
118,0,1744,123,False
118,1,1744,123,False
119,0,1999,98,False
119,1,1999,98,False
120,0,2303,166,False
121,0,1030,89,False
122,0,2529,62,False
123,0,552,114,False
123,1,552,114,False
124,0,2590,29,False
124,1,2590,29,False
125,0,2516,144,False
125,1,2516,144,False
126,0,1738,27,False
126,1,1738,27,False
127,0,1517,94,False
128,0,2534,174,False
128,1,2534,174,False
129,0,205,9,False
129,1,205,9,False
130,0,389,44,False
131,0,1198,34,False
132,0,2115,29,False
132,1,2115,29,False
133,0,6,151,False
133,1,6,151,False
134,0,740,24,False
135,0,2062,12,False
135,1,2062,12,False
136,0,2487,63,False
137,0,16,52,False
138,0,1127,161,False
138,1,1127,161,False
139,0,846,52,False
140,0,1265,71,False
140,1,1265,71,False
141,0,2994,87,False
141,1,2994,87,False
142,0,665,33,False
142,1,665,33,False
