Job;Operation;ToolSet;Processing Time;Priority
0;0;3416;170;1
1;0;671;20;1
2;0;374;160;1
2;1;374;160;1
3;0;2857;4;1
3;1;2857;4;1
4;0;3386;158;1
5;0;3242;68;1
5;1;3242;68;1
6;0;2807;125;1
6;1;2807;125;1
7;0;2175;84;1
8;0;489;76;1
9;0;2888;161;1
9;1;2888;161;1
10;0;1319;157;1
11;0;2005;5;1
11;1;2005;5;1
12;0;1043;151;1
12;1;1043;151;1
13;0;1803;103;1
14;0;3250;42;1
14;1;3250;42;1
15;0;2555;29;1
16;0;802;109;1
16;1;802;109;1
17;0;1023;97;1
18;0;3064;119;1
18;1;3064;119;1
19;0;560;161;1
20;0;2145;88;1
21;0;771;171;1
22;0;584;53;1
22;1;584;53;1
23;0;1092;98;1
23;1;1092;98;1
24;0;1042;109;1
24;1;1042;109;1
25;0;1353;150;1
26;0;2747;96;1
26;1;2747;96;1
27;0;3265;44;1
27;1;3265;44;1
28;0;821;156;1
28;1;821;156;1
29;0;3183;37;1
30;0;2335;145;1
30;1;2335;145;1
31;0;248;163;1
32;0;2036;98;1
33;0;1094;91;1
33;1;1094;91;1
34;0;2917;18;1
35;0;3210;14;1
36;0;668;4;1
37;0;222;168;1
38;0;3031;109;1
39;0;3393;64;1
40;0;847;20;1
41;0;1454;64;1
42;0;3259;32;1
42;1;3259;32;1
43;0;2893;69;1
44;0;2846;37;1
44;1;2846;37;1
45;0;3117;176;1
45;1;3117;176;1
46;0;1871;148;1
47;0;3343;60;1
47;1;3343;60;1
48;0;2771;111;1
49;0;1451;159;1
49;1;1451;159;1
50;0;2838;6;1
50;1;2838;6;1
51;0;1994;24;1
51;1;1994;24;1
52;0;1212;151;1
52;1;1212;151;1
53;0;2310;160;1
53;1;2310;160;1
54;0;2732;74;1
54;1;2732;74;1
55;0;2007;118;1
55;1;2007;118;1
56;0;2306;66;1
57;0;1720;173;1
57;1;1720;173;1
58;0;1398;39;1
59;0;3341;69;1
59;1;3341;69;1
60;0;3463;73;1
61;0;2202;34;1
61;1;2202;34;1
62;0;908;22;1
62;1;908;22;1
63;0;2691;94;1
63;1;2691;94;1
64;0;1403;68;1
65;0;1925;10;1
65;1;1925;10;1
66;0;1427;83;1
67;0;1379;168;1
67;1;1379;168;1
68;0;3399;119;1
69;0;3319;120;1
69;1;3319;120;1
70;0;1321;29;1
71;0;1558;24;1
71;1;1558;24;1
72;0;1318;180;1
72;1;1318;180;1
73;0;891;138;1
73;1;891;138;1
74;0;410;77;1
74;1;410;77;1
75;0;2715;49;1
75;1;2715;49;1
76;0;2415;172;1
76;1;2415;172;1
77;0;308;51;1
77;1;308;51;1
78;0;1661;148;1
79;0;1225;103;1
79;1;1225;103;1
80;0;611;162;1
81;0;3044;78;1
82;0;2103;150;1
82;1;2103;150;1
83;0;2386;50;1
83;1;2386;50;1
84;0;2700;148;1
84;1;2700;148;1
85;0;2188;52;1
85;1;2188;52;1
86;0;1670;44;1
86;1;1670;44;1
87;0;666;137;1
88;0;3446;97;1
89;0;2138;76;1
90;0;1084;179;1
90;1;1084;179;1
91;0;1002;109;1
91;1;1002;109;1
92;0;3223;171;1
92;1;3223;171;1
93;0;2251;151;1
93;1;2251;151;1
94;0;886;41;1
95;0;268;131;1
95;1;268;131;1
96;0;2178;142;1
97;0;1802;49;1
97;1;1802;49;1
98;0;1569;39;1
98;1;1569;39;1
99;0;2922;160;1
100;0;535;148;1
100;1;535;148;1
101;0;2006;99;1
101;1;2006;99;1
102;0;1505;46;1
102;1;1505;46;1
103;0;3417;132;1
103;1;3417;132;1
104;0;1444;73;1
104;1;1444;73;1
105;0;2184;161;1
105;1;2184;161;1
106;0;499;36;1
106;1;499;36;1
107;0;2053;66;1
107;1;2053;66;1
108;0;2091;44;1
109;0;1762;27;1
110;0;2689;145;1
111;0;2798;52;1
112;0;2542;139;1
112;1;2542;139;1
113;0;1815;10;1
113;1;1815;10;1
114;0;1853;54;1
114;1;1853;54;1
115;0;660;60;1
115;1;660;60;1
116;0;3081;139;1
116;1;3081;139;1
117;0;989;22;1
117;1;989;22;1
118;0;2235;44;1
118;1;2235;44;1
119;0;940;17;1
119;1;940;17;1
120;0;2971;51;1
121;0;1523;62;1
121;1;1523;62;1
122;0;834;17;1
123;0;1689;81;1
123;1;1689;81;1
124;0;3125;177;1
124;1;3125;177;1
125;0;3014;30;1
126;0;861;131;1
126;1;861;131;1
127;0;2720;78;1
127;1;2720;78;1
128;0;2170;123;1
128;1;2170;123;1
129;0;2860;131;1
129;1;2860;131;1
130;0;1425;75;1
130;1;1425;75;1
131;0;3365;36;1
131;1;3365;36;1
132;0;3443;115;1
133;0;565;135;1
133;1;565;135;1
134;0;1350;137;1
134;1;1350;137;1
135;0;2696;175;1
135;1;2696;175;1
136;0;3165;73;1
136;1;3165;73;1
137;0;1503;12;1
138;0;2833;24;1
139;0;2615;106;1
139;1;2615;106;1
140;0;2197;15;1
141;0;2948;150;1
142;0;1435;160;1
142;1;1435;160;1
143;0;585;94;1
143;1;585;94;1
144;0;3153;15;1
145;0;1788;42;1
146;0;542;30;1
147;0;3366;42;1
147;1;3366;42;1
148;0;2842;97;1
148;1;2842;97;1
149;0;2161;69;1
150;0;219;170;1
150;1;219;170;1
151;0;906;136;1
152;0;2716;18;1
153;0;774;96;1
154;0;2040;61;1
154;1;2040;61;1
155;0;3444;80;1
155;1;3444;80;1
156;0;197;46;1
157;0;2957;90;1
158;0;2745;169;1
159;0;3156;171;1
160;0;2562;160;1
160;1;2562;160;1
161;0;1034;147;1
162;0;2576;164;1
163;0;3116;98;1
163;1;3116;98;1
164;0;1089;98;1
165;0;2351;103;1
165;1;2351;103;1
166;0;3020;98;1
167;0;1679;60;1
168;0;2961;160;1
169;0;3090;21;1
170;0;919;54;1
171;0;1486;130;1
171;1;1486;130;1
172;0;2900;101;1
173;0;746;88;1
174;0;3362;75;1
174;1;3362;75;1
175;0;388;168;1
176;0;2317;106;1
177;0;3053;41;1
177;1;3053;41;1
178;0;2097;4;1
178;1;2097;4;1
179;0;2059;163;1
180;0;187;121;1
180;1;187;121;1
181;0;1231;164;1
182;0;2645;118;1
182;1;2645;118;1
183;0;2805;12;1
184;0;663;59;1
184;1;663;59;1
185;0;1697;62;1
186;0;664;5;1
186;1;664;5;1
187;0;2054;170;1
187;1;2054;170;1
188;0;106;78;1
188;1;106;78;1
189;0;2729;56;1
190;0;1419;34;1
190;1;1419;34;1
191;0;432;51;1
191;1;432;51;1
192;0;2898;76;1
192;1;2898;76;1
193;0;2979;98;1
193;1;2979;98;1
194;0;1875;84;1
194;1;1875;84;1
195;0;657;29;1
195;1;657;29;1
196;0;3390;173;1
196;1;3390;173;1
197;0;3007;15;1
198;0;1381;89;1
198;1;1381;89;1
199;0;2844;25;1
200;0;3056;150;1
200;1;3056;150;1
201;0;415;146;1
202;0;2289;169;1
202;1;2289;169;1
203;0;3391;61;1
203;1;3391;61;1
204;0;539;74;1
205;0;2088;49;1
205;1;2088;49;1
206;0;2332;154;1
207;0;863;96;1
208;0;830;159;1
208;1;830;159;1
209;0;3392;174;1
209;1;3392;174;1
210;0;3314;31;1
210;1;3314;31;1
211;0;670;157;1
211;1;670;157;1
212;0;3412;14;1
212;1;3412;14;1
213;0;2768;118;1
213;1;2768;118;1
214;0;1622;174;1
214;1;1622;174;1
215;0;2560;144;1
216;0;288;22;1
216;1;288;22;1
217;0;1338;148;1
218;0;1477;41;1
218;1;1477;41;1
219;0;2829;96;1
220;0;3439;96;1
220;1;3439;96;1
221;0;3211;34;1
222;0;1731;30;1
222;1;1731;30;1
223;0;868;156;1
224;0;3260;33;1
224;1;3260;33;1
225;0;1159;12;1
225;1;1159;12;1
226;0;2419;169;1
226;1;2419;169;1
227;0;690;130;1
228;0;1177;29;1
229;0;1926;80;1
229;1;1926;80;1
230;0;2823;41;1
230;1;2823;41;1
231;0;1286;32;1
231;1;1286;32;1
232;0;2655;87;1
232;1;2655;87;1
233;0;2428;137;1
234;0;3315;4;1
234;1;3315;4;1
235;0;1400;51;1
236;0;762;32;1
236;1;762;32;1
237;0;378;150;1
238;0;2548;156;1
238;1;2548;156;1
239;0;2794;52;1
240;0;1282;103;1
241;0;3414;55;1
241;1;3414;55;1
242;0;3033;161;1
242;1;3033;161;1
243;0;1204;84;1
243;1;1204;84;1
244;0;3179;34;1
245;0;3192;147;1
245;1;3192;147;1
246;0;1270;89;1
247;0;355;74;1
247;1;355;74;1
248;0;1659;94;1
249;0;2889;50;1
250;0;293;27;1
250;1;293;27;1
251;0;1256;22;1
251;1;1256;22;1
252;0;1735;64;1
252;1;1735;64;1
253;0;1834;99;1
254;0;2694;60;1
255;0;629;20;1
255;1;629;20;1
256;0;1781;55;1
257;0;2445;94;1
258;0;612;125;1
258;1;612;125;1
259;0;412;169;1
259;1;412;169;1
260;0;1099;133;1
260;1;1099;133;1
261;0;786;87;1
261;1;786;87;1
262;0;673;134;1
262;1;673;134;1
263;0;520;166;1
263;1;520;166;1
264;0;3093;115;1
265;0;1134;53;1
265;1;1134;53;1
266;0;1884;52;1
267;0;648;31;1
267;1;648;31;1
268;0;1642;45;1
269;0;1909;59;1
269;1;1909;59;1
270;0;1382;121;1
270;1;1382;121;1
271;0;3274;73;1
271;1;3274;73;1
272;0;3258;137;1
272;1;3258;137;1
273;0;1791;163;1
274;0;1544;175;1
274;1;1544;175;1
275;0;2625;34;1
275;1;2625;34;1
276;0;2880;111;1
276;1;2880;111;1
277;0;1022;60;1
277;1;1022;60;1
278;0;1818;113;1
278;1;1818;113;1
279;0;1484;8;1
279;1;1484;8;1
280;0;3424;69;1
280;1;3424;69;1
281;0;1079;28;1
281;1;1079;28;1
282;0;1593;32;1
283;0;814;164;1
283;1;814;164;1
284;0;3278;129;1
284;1;3278;129;1
285;0;2743;44;1
286;0;1889;73;1
286;1;1889;73;1
287;0;2949;94;1
288;0;1857;46;1
288;1;1857;46;1
289;0;1729;41;1
289;1;1729;41;1
290;0;3344;53;1
290;1;3344;53;1
291;0;1007;41;1
292;0;1174;128;1
292;1;1174;128;1
293;0;1274;68;1
293;1;1274;68;1
294;0;1487;78;1
295;0;1538;115;1
295;1;1538;115;1
296;0;1831;84;1
297;0;2098;14;1
298;0;2407;66;1
298;1;2407;66;1
299;0;2338;165;1
