Job;Item;TL;Processing Time
100000;A31;TL532;68
100001;A39;TL132;39
100002;A47;TL3320;11
100003;A33;TL2076;28
100004;A10;TL3396;130
100005;A24;TL3272;147
100006;A9;TL197;150
100007;A5;TL566;45
100008;A15;TL2226;106
100009;A12;TL89;74
100010;A3;TL1574;34
100011;A15;TL2226;106
100012;A40;TL85;41
100013;A44;TL2967;106
100014;A50;TL969;95
100015;A14;TL1354;138
100016;A42;TL3224;25
100017;A25;TL93;24
100018;A50;TL969;95
100019;A47;TL3320;11
100020;A7;TL3173;122
100021;A44;TL2967;106
100022;A10;TL3396;130
100023;A40;TL85;41
100024;A23;TL1707;101
100025;A10;TL3396;130
100026;A34;TL2119;160
100027;A36;TL111;174
100028;A33;TL2076;28
100029;A17;TL148;165
100030;A18;TL2870;114
100031;A33;TL2076;28
100032;A4;TL461;168
100033;A38;TL196;16
100034;A16;TL3130;163
100035;A6;TL3238;92
100036;A34;TL2119;160
100037;A38;TL196;16
100038;A22;TL62;158
100039;A22;TL62;158
100040;A13;TL102;113
100041;A37;TL2413;4
100042;A40;TL85;41
100043;A19;TL486;53
100044;A10;TL3396;130
100045;A13;TL102;113
100046;A16;TL3130;163
100047;A44;TL2967;106
100048;A24;TL3272;147
100049;A37;TL2413;4
100050;A26;TL3245;59
100051;A18;TL2870;114
100052;A22;TL62;158
100053;A34;TL2119;160
100054;A17;TL148;165
100055;A7;TL3173;122
100056;A11;TL564;134
100057;A23;TL1707;101
100058;A18;TL2870;114
100059;A5;TL566;45
100060;A15;TL2226;106
100061;A40;TL85;41
100062;A11;TL564;134
100063;A16;TL3130;163
100064;A47;TL3320;11
100065;A2;TL2012;117
100066;A2;TL2012;117
100067;A50;TL969;95
100068;A34;TL2119;160
100069;A22;TL62;158
100070;A37;TL2413;4
100071;A47;TL3320;11
100072;A14;TL1354;138
100073;A4;TL461;168
100074;A8;TL3408;166
100075;A35;TL1647;11
100076;A5;TL566;45
100077;A1;TL2350;19
100078;A23;TL1707;101
100079;A4;TL461;168
100080;A38;TL196;16
100081;A27;TL16;152
100082;A27;TL16;152
100083;A28;TL1087;54
100084;A35;TL1647;11
100085;A40;TL85;41
100086;A46;TL925;50
100087;A28;TL1087;54
100088;A13;TL102;113
100089;A11;TL564;134
100090;A33;TL2076;28
100091;A30;TL2200;65
100092;A50;TL969;95
100093;A19;TL486;53
100094;A15;TL2226;106
100095;A24;TL3272;147
100096;A32;TL3266;89
100097;A9;TL197;150
100098;A32;TL3266;89
100099;A6;TL3238;92
100100;A50;TL969;95
100101;A48;TL469;17
100102;A11;TL564;134
100103;A40;TL85;41
100104;A6;TL3238;92
100105;A32;TL3266;89
100106;A50;TL969;95
100107;A18;TL2870;114
100108;A27;TL16;152
100109;A16;TL3130;163
100110;A23;TL1707;101
100111;A11;TL564;134
100112;A9;TL197;150
100113;A6;TL3238;92
100114;A39;TL132;39
100115;A10;TL3396;130
100116;A31;TL532;68
100117;A47;TL3320;11
100118;A49;TL511;61
100119;A24;TL3272;147
100120;A37;TL2413;4
100121;A41;TL2058;178
100122;A9;TL197;150
100123;A16;TL3130;163
100124;A9;TL197;150
100125;A36;TL111;174
100126;A25;TL93;24
100127;A3;TL1574;34
100128;A40;TL85;41
100129;A19;TL486;53
100130;A43;TL1694;53
100131;A10;TL3396;130
100132;A50;TL969;95
100133;A29;TL2993;168
100134;A12;TL89;74
100135;A8;TL3408;166
100136;A25;TL93;24
100137;A17;TL148;165
100138;A37;TL2413;4
