Job;Operation;ToolSet;Processing Time
20;7;3173;122
50;26;3245;59
15;14;1354;138
228;21;3263;168
74;8;3408;166
9;12;89;74
33;38;196;16
8;15;2226;106
121;41;2058;178
81;27;16;152
1;39;132;39
16;42;3224;25
26;34;2119;160
65;2;2012;117
14;50;969;95
40;13;102;113
7;5;566;45
77;1;2350;19
0;31;532;68
91;30;2200;65
101;48;469;17
35;6;3238;92
17;25;93;24
38;22;62;158
96;32;3266;89
32;4;461;168
118;49;511;61
83;28;1087;54
5;24;3272;147
75;35;1647;11
6;9;197;150
29;17;148;165
27;36;111;174
86;46;925;50
130;43;1694;53
183;45;636;4
10;3;1574;34
13;44;2967;106
56;11;564;134
34;16;3130;163
24;23;1707;101
133;29;2993;168
30;18;2870;114
41;37;2413;4
2;47;3320;11
4;10;3396;130
152;20;2772;18
12;40;85;41
3;33;2076;28
43;19;486;53
