Job;Operation;ToolSet;Processing Time;Priority
0;0;1690;45;1
1;0;1485;81;1
1;1;1485;81;1
2;0;1687;34;1
3;0;432;174;1
4;0;1826;72;1
5;0;1749;60;1
5;1;1749;60;1
6;0;2780;81;1
7;0;3100;151;1
8;0;2201;74;1
8;1;2201;74;1
9;0;1616;74;1
9;1;1616;74;1
10;0;2678;153;1
10;1;2678;153;1
11;0;2259;137;1
11;1;2259;137;1
12;0;2399;129;1
13;0;1663;110;1
13;1;1663;110;1
14;0;978;22;1
14;1;978;22;1
15;0;3304;68;1
15;1;3304;68;1
16;0;1987;77;1
16;1;1987;77;1
17;0;3009;137;1
17;1;3009;137;1
18;0;516;12;1
18;1;516;12;1
19;0;979;173;1
19;1;979;173;1
20;0;113;157;1
20;1;113;157;1
21;0;1889;160;1
22;0;648;28;1
23;0;1022;46;1
23;1;1022;46;1
24;0;619;22;1
24;1;619;22;1
25;0;1859;111;1
26;0;3338;60;1
26;1;3338;60;1
27;0;3278;64;1
28;0;2912;109;1
29;0;1604;103;1
30;0;833;80;1
31;0;2790;84;1
31;1;2790;84;1
32;0;2006;160;1
32;1;2006;160;1
33;0;2160;174;1
33;1;2160;174;1
34;0;1931;162;1
35;0;2999;50;1
36;0;2920;150;1
36;1;2920;150;1
37;0;3239;98;1
37;1;3239;98;1
38;0;214;74;1
38;1;214;74;1
39;0;1511;5;1
39;1;1511;5;1
40;0;3417;131;1
41;0;1252;111;1
41;1;1252;111;1
42;0;1073;180;1
43;0;3008;164;1
44;0;2148;15;1
44;1;2148;15;1
45;0;1966;64;1
45;1;1966;64;1
46;0;2322;66;1
47;0;1737;89;1
47;1;1737;89;1
48;0;3268;42;1
49;0;1002;122;1
50;0;830;103;1
50;1;830;103;1
51;0;304;95;1
51;1;304;95;1
52;0;355;94;1
53;0;1463;64;1
54;0;3333;51;1
54;1;3333;51;1
55;0;1626;44;1
56;0;2820;39;1
56;1;2820;39;1
57;0;3326;11;1
57;1;3326;11;1
58;0;1725;109;1
58;1;1725;109;1
59;0;2697;53;1
60;0;1200;44;1
61;0;2711;62;1
62;0;1620;121;1
63;0;2888;166;1
63;1;2888;166;1
64;0;1177;139;1
64;1;1177;139;1
65;0;1263;66;1
65;1;1263;66;1
66;0;1244;131;1
66;1;1244;131;1
67;0;2098;137;1
68;0;1841;40;1
69;0;2348;164;1
69;1;2348;164;1
70;0;1166;159;1
70;1;1166;159;1
71;0;3123;48;1
71;1;3123;48;1
72;0;3244;149;1
73;0;696;55;1
74;0;715;174;1
75;0;2769;134;1
75;1;2769;134;1
76;0;230;125;1
77;0;3375;48;1
77;1;3375;48;1
78;0;1492;81;1
78;1;1492;81;1
79;0;1638;49;1
79;1;1638;49;1
80;0;2305;53;1
80;1;2305;53;1
81;0;1077;101;1
82;0;1548;119;1
83;0;2410;80;1
83;1;2410;80;1
84;0;2142;52;1
84;1;2142;52;1
85;0;1888;115;1
85;1;1888;115;1
86;0;465;5;1
87;0;885;32;1
87;1;885;32;1
88;0;3254;48;1
89;0;2381;89;1
90;0;3430;77;1
91;0;1688;62;1
92;0;754;90;1
92;1;754;90;1
93;0;433;33;1
93;1;433;33;1
94;0;2824;29;1
94;1;2824;29;1
95;0;2562;49;1
95;1;2562;49;1
96;0;1996;50;1
96;1;1996;50;1
97;0;3445;44;1
98;0;1739;164;1
99;0;2082;161;1
99;1;2082;161;1
100;0;1994;89;1
101;0;1136;51;1
102;0;581;139;1
103;0;2132;73;1
103;1;2132;73;1
104;0;2239;83;1
104;1;2239;83;1
105;0;1776;172;1
105;1;1776;172;1
106;0;2842;52;1
106;1;2842;52;1
107;0;1614;21;1
107;1;1614;21;1
108;0;2939;164;1
109;0;3371;121;1
109;1;3371;121;1
110;0;2951;97;1
111;0;3116;161;1
111;1;3116;161;1
112;0;2799;77;1
113;0;3040;55;1
114;0;904;89;1
114;1;904;89;1
115;0;2530;54;1
116;0;2233;76;1
116;1;2233;76;1
117;0;1640;55;1
118;0;2445;19;1
118;1;2445;19;1
119;0;3460;77;1
119;1;3460;77;1
120;0;2961;28;1
121;0;2146;15;1
122;0;626;92;1
122;1;626;92;1
123;0;2651;100;1
123;1;2651;100;1
124;0;3264;40;1
124;1;3264;40;1
125;0;1384;50;1
125;1;1384;50;1
126;0;895;80;1
127;0;3322;156;1
128;0;2284;135;1
129;0;3347;123;1
129;1;3347;123;1
130;0;2436;150;1
131;0;2426;157;1
131;1;2426;157;1
132;0;593;15;1
133;0;886;180;1
133;1;886;180;1
134;0;2257;168;1
135;0;3064;95;1
136;0;1151;161;1
137;0;2623;83;1
138;0;1718;62;1
138;1;1718;62;1
139;0;293;73;1
140;0;3149;11;1
141;0;2836;87;1
141;1;2836;87;1
142;0;946;141;1
143;0;1172;97;1
143;1;1172;97;1
144;0;2794;41;1
145;0;1502;138;1
145;1;1502;138;1
146;0;3330;137;1
146;1;3330;137;1
147;0;1081;156;1
147;1;1081;156;1
148;0;2401;106;1
149;0;2638;60;1
149;1;2638;60;1
150;0;2090;27;1
151;0;466;99;1
151;1;466;99;1
152;0;3025;33;1
153;0;2197;157;1
153;1;2197;157;1
154;0;1435;64;1
154;1;1435;64;1
155;0;611;28;1
155;1;611;28;1
156;0;576;20;1
156;1;576;20;1
157;0;2152;41;1
157;1;2152;41;1
158;0;1364;115;1
158;1;1364;115;1
159;0;2067;179;1
159;1;2067;179;1
160;0;1474;33;1
160;1;1474;33;1
161;0;2730;74;1
161;1;2730;74;1
162;0;1444;77;1
163;0;2714;4;1
163;1;2714;4;1
164;0;1861;25;1
164;1;1861;25;1
165;0;447;66;1
166;0;535;130;1
167;0;584;19;1
167;1;584;19;1
168;0;806;123;1
168;1;806;123;1
169;0;326;18;1
170;0;2178;8;1
171;0;2989;103;1
172;0;2535;23;1
173;0;2359;66;1
174;0;2712;42;1
174;1;2712;42;1
175;0;1865;4;1
176;0;2199;87;1
176;1;2199;87;1
177;0;870;139;1
177;1;870;139;1
178;0;2974;115;1
178;1;2974;115;1
179;0;2416;131;1
180;0;3450;109;1
181;0;2889;137;1
181;1;2889;137;1
182;0;2188;87;1
182;1;2188;87;1
183;0;1372;73;1
183;1;1372;73;1
184;0;3373;148;1
184;1;3373;148;1
185;0;1923;14;1
185;1;1923;14;1
186;0;1400;45;1
186;1;1400;45;1
187;0;2612;141;1
187;1;2612;141;1
188;0;1642;32;1
188;1;1642;32;1
189;0;3058;95;1
189;1;3058;95;1
190;0;2838;4;1
191;0;998;66;1
191;1;998;66;1
192;0;2812;174;1
192;1;2812;174;1
193;0;1418;22;1
193;1;1418;22;1
194;0;1885;77;1
194;1;1885;77;1
195;0;2863;137;1
195;1;2863;137;1
196;0;1803;120;1
197;0;2957;169;1
198;0;2213;161;1
199;0;1484;147;1
200;0;503;34;1
201;0;1237;145;1
201;1;1237;145;1
202;0;2696;36;1
203;0;877;178;1
204;0;2979;131;1
204;1;2979;131;1
205;0;3044;79;1
205;1;3044;79;1
206;0;2990;8;1
207;0;63;109;1
208;0;2880;47;1
209;0;698;156;1
209;1;698;156;1
210;0;2235;147;1
210;1;2235;147;1
211;0;958;120;1
211;1;958;120;1
212;0;1503;91;1
213;0;1321;55;1
213;1;1321;55;1
214;0;3169;168;1
214;1;3169;168;1
215;0;865;4;1
216;0;1711;109;1
217;0;3055;131;1
217;1;3055;131;1
218;0;2778;161;1
218;1;2778;161;1
219;0;2318;96;1
220;0;2591;136;1
221;0;3358;80;1
221;1;3358;80;1
222;0;2191;69;1
222;1;2191;69;1
223;0;2818;83;1
224;0;2010;88;1
225;0;2590;11;1
225;1;2590;11;1
226;0;368;157;1
227;0;984;137;1
228;0;1326;89;1
228;1;1326;89;1
229;0;1122;143;1
229;1;1122;143;1
230;0;2307;4;1
230;1;2307;4;1
231;0;2453;111;1
232;0;450;95;1
232;1;450;95;1
233;0;897;131;1
234;0;595;119;1
235;0;1190;33;1
236;0;2177;33;1
237;0;3395;18;1
238;0;1163;35;1
238;1;1163;35;1
239;0;1281;50;1
239;1;1281;50;1
240;0;1774;160;1
240;1;1774;160;1
241;0;1380;78;1
242;0;949;12;1
242;1;949;12;1
243;0;1353;34;1
243;1;1353;34;1
244;0;2338;125;1
245;0;3292;60;1
245;1;3292;60;1
246;0;1134;145;1
246;1;1134;145;1
247;0;1836;124;1
247;1;1836;124;1
248;0;3441;136;1
249;0;2930;78;1
249;1;2930;78;1
250;0;334;148;1
250;1;334;148;1
251;0;2372;56;1
252;0;2363;125;1
252;1;2363;125;1
253;0;1902;30;1
254;0;1496;73;1
254;1;1496;73;1
255;0;1495;131;1
256;0;2849;112;1
256;1;2849;112;1
257;0;3274;56;1
258;0;1527;176;1
258;1;1527;176;1
259;0;1385;106;1
260;0;1041;172;1
260;1;1041;172;1
261;0;1538;24;1
261;1;1538;24;1
262;0;494;66;1
262;1;494;66;1
263;0;1855;132;1
263;1;1855;132;1
264;0;1783;145;1
264;1;1783;145;1
265;0;2391;90;1
265;1;2391;90;1
266;0;3418;30;1
266;1;3418;30;1
267;0;1730;69;1
267;1;1730;69;1
268;0;2532;64;1
268;1;2532;64;1
269;0;1583;140;1
270;0;2613;41;1
271;0;3429;33;1
271;1;3429;33;1
272;0;814;33;1
273;0;3464;150;1
273;1;3464;150;1
274;0;863;119;1
274;1;863;119;1
275;0;577;105;1
275;1;577;105;1
276;0;2114;41;1
277;0;2133;34;1
277;1;2133;34;1
278;0;1461;109;1
278;1;1461;109;1
279;0;1282;117;1
280;0;2138;142;1
280;1;2138;142;1
281;0;3436;50;1
281;1;3436;50;1
282;0;3031;15;1
282;1;3031;15;1
283;0;3135;4;1
284;0;3179;137;1
284;1;3179;137;1
285;0;525;168;1
285;1;525;168;1
286;0;753;164;1
286;1;753;164;1
287;0;1701;150;1
288;0;1333;84;1
288;1;1333;84;1
289;0;848;12;1
290;0;875;4;1
291;0;1926;4;1
291;1;1926;4;1
292;0;2180;80;1
292;1;2180;80;1
293;0;2970;5;1
294;0;470;129;1
294;1;470;129;1
295;0;2942;6;1
296;0;1447;45;1
297;0;3394;52;1
297;1;3394;52;1
298;0;891;44;1
299;0;2083;142;1
