Job;Operation;ToolSet;Processing Time;Priority
0;0;3315;119;1
0;1;521;51;1
1;0;2743;140;1
2;0;2179;168;1
3;0;1608;81;1
3;1;3069;97;1
4;0;1375;15;1
4;1;2183;39;1
5;0;1902;60;1
5;1;3067;137;1
6;0;1599;115;1
7;0;496;83;1
8;0;1925;20;1
8;1;2771;89;1
9;0;444;112;1
9;1;284;156;1
10;0;1862;97;1
10;1;1150;164;1
11;0;2767;174;1
12;0;695;111;1
12;1;423;114;1
13;0;1583;174;1
14;0;1254;36;1
15;0;595;10;1
15;1;2939;164;1
16;0;3446;68;1
17;0;1477;78;1
17;1;3304;114;1
18;0;1182;66;1
18;1;619;74;1
19;0;1541;15;1
20;0;315;48;1
21;0;3117;175;1
21;1;3064;111;1
22;0;2178;78;1
22;1;802;14;1
23;0;715;165;1
24;0;1418;4;1
24;1;642;96;1
25;0;2729;96;1
25;1;2419;164;1
26;0;270;41;1
26;1;2363;60;1
27;0;2162;94;1
27;1;2114;131;1
28;0;1144;83;1
28;1;2998;124;1
29;0;325;44;1
29;1;1486;91;1
30;0;2465;74;1
31;0;1211;105;1
31;1;643;114;1
32;0;2317;98;1
32;1;2535;136;1
33;0;3161;53;1
33;1;3211;97;1
34;0;1122;76;1
35;0;2422;41;1
35;1;2884;88;1
36;0;728;150;1
37;0;2965;145;1
38;0;2645;77;1
38;1;337;64;1
39;0;2059;76;1
39;1;334;60;1
40;0;1634;39;1
40;1;650;147;1
41;0;1400;176;1
41;1;3412;41;1
42;0;1166;95;1
42;1;1194;34;1
43;0;1125;77;1
43;1;1002;55;1
44;0;2472;109;1
44;1;2527;114;1
45;0;648;96;1
46;0;1909;144;1
46;1;811;159;1
47;0;2979;98;1
47;1;1053;98;1
48;0;2213;109;1
49;0;2637;4;1
50;0;1374;74;1
51;0;745;84;1
51;1;1485;96;1
52;0;3347;109;1
52;1;2138;144;1
53;0;2401;80;1
53;1;2296;101;1
54;0;699;115;1
54;1;2694;77;1
55;0;1779;174;1
56;0;2989;83;1
