Job;Operation;ToolSet;Processing Time;Priority
0;0;566;45;1
0;1;566;45;1
1;0;2226;55;1
1;1;2226;55;1
2;0;196;16;1
3;0;1647;169;1
4;0;93;111;1
5;0;1707;101;1
5;1;1707;101;1
6;0;89;147;1
6;1;89;147;1
7;0;3396;113;1
8;0;3224;25;1
9;0;2226;55;1
9;1;2226;55;1
10;0;1354;119;0
11;0;16;152;1
12;0;132;138;0
12;1;132;138;0
13;0;1707;101;0
13;1;1707;101;0
14;0;566;45;0
14;1;566;45;0
15;0;3130;163;0
16;0;636;4;1
17;0;132;138;0
17;1;132;138;0
18;0;636;4;0
19;0;2012;93;1
19;1;2012;93;1
20;0;16;152;0
21;0;2012;93;0
21;1;2012;93;0
22;0;85;41;0
23;0;3396;113;0
