Job;Operation;ToolSet;Processing Time
000;76;475;55
001;28;2886;65
002;52;1658;172
003;38;2418;42
004;103;610;44
005;98;1526;66
006;125;2474;90
007;122;2004;31
008;121;1253;136
009;63;2487;63
010;19;2119;96
011;107;2362;14
012;131;921;147
013;134;2517;180
014;6;6;151
015;102;1537;131
016;143;407;97
017;95;1130;83
018;100;1052;134
019;120;2323;164
020;116;1804;73
021;132;1893;109
022;89;1115;109
023;42;422;157
024;130;528;12
025;9;1291;84
026;51;559;41
027;72;2403;105
028;101;2516;144
029;70;389;44
030;102;1537;131
031;104;1478;72
032;30;630;104
033;92;1683;143
034;71;1946;49
035;25;2954;4
036;57;136;99
037;21;1433;50
038;124;377;76
039;6;6;151
040;44;434;164
041;117;336;34
042;13;1265;71
043;44;434;164
044;112;1965;39
045;60;1952;39
046;61;2608;170
047;101;2516;144
048;40;16;52
049;48;1111;73
050;140;278;139
051;86;1890;137
052;117;336;34
053;84;3462;60
054;81;3024;91
055;104;1478;72
056;30;630;104
057;111;1999;98
058;129;971;77
059;108;580;124
060;36;132;165
061;125;2474;90
062;131;921;147
063;122;2004;31
064;28;2886;65
065;120;2323;164
066;96;1127;161
067;76;475;55
068;79;3286;162
069;73;665;33
070;86;1890;137
071;6;6;151
072;101;2516;144
073;20;2218;84
074;38;2418;42
075;115;2134;115
076;121;1253;136
077;43;1624;45
078;96;1127;161
079;93;3337;21
080;65;2574;77
081;89;1115;109
082;17;473;121
083;41;1489;101
084;83;1562;15
085;113;1738;27
086;87;1312;175
087;148;1974;36
088;100;1052;134
089;9;1291;84
090;132;1893;109
091;69;1009;149
092;138;1863;131
093;24;524;115
094;43;1624;45
095;139;1530;137
096;80;187;176
097;119;2339;7
098;42;422;157
099;90;2464;153
100;127;37;100
101;147;188;22
102;45;566;51
103;27;2529;62
104;61;2608;170
105;110;707;66
106;79;3286;162
107;62;2062;12
108;129;971;77
109;89;1115;109
110;111;1999;98
111;58;1912;23
112;21;1433;50
113;31;1030;89
114;75;1008;81
115;14;1744;123
116;123;2364;152
117;55;1872;180
118;87;1312;175
119;1;3150;68
120;6;6;151
121;137;2552;53
122;96;1127;161
123;76;475;55
124;107;2362;14
125;112;1965;39
126;50;1198;34
127;42;422;157
128;64;3172;78
129;136;1912;176
130;138;1863;131
131;108;580;124
132;54;1904;77
133;61;2608;170
134;78;1517;94
135;148;1974;36
136;30;630;104
137;134;2517;180
138;47;2850;136
139;134;2517;180
140;113;1738;27
141;95;1130;83
142;82;2672;121
143;28;2886;65
144;94;55;60
145;88;2534;174
146;76;475;55
147;154;527;96
148;112;1965;39
149;117;336;34
150;123;2364;152
151;40;16;52
152;77;125;81
153;100;1052;134
154;8;552;114
155;128;1748;131
156;52;1658;172
157;8;552;114
158;78;1517;94
159;57;136;99
160;45;566;51
161;20;2218;84
162;60;1952;39
163;98;1526;66
164;43;1624;45
165;87;1312;175
166;85;439;172
167;45;566;51
168;73;665;33
169;37;1083;139
170;64;3172;78
171;136;1912;176
172;54;1904;77
173;107;2362;14
174;33;2409;148
175;86;1890;137
176;143;407;97
177;44;434;164
178;116;1804;73
179;66;1886;148
180;50;1198;34
181;127;37;100
182;78;1517;94
183;128;1748;131
184;80;187;176
185;33;2409;148
186;101;2516;144
187;45;566;51
188;126;1899;21
189;93;3337;21
190;154;527;96
191;141;3140;143
192;68;1413;44
193;29;2049;77
194;84;3462;60
195;25;2954;4
196;86;1890;137
197;94;55;60
198;128;1748;131
199;60;1952;39
200;10;1260;155
201;120;2323;164
202;44;434;164
203;102;1537;131
204;89;1115;109
205;67;550;168
206;66;1886;148
207;67;550;168
208;70;389;44
209;74;2360;36
210;87;1312;175
211;54;1904;77
212;96;1127;161
213;121;1253;136
214;96;1127;161
215;21;1433;50
216;61;2608;170
217;99;2945;150
218;110;707;66
219;138;1863;131
220;51;559;41
221;73;665;33
222;16;1253;30
223;62;2062;12
224;48;1111;73
225;11;1612;98
226;125;2474;90
227;125;2474;90
228;83;1562;15
229;10;1260;155
230;35;1192;120
231;117;336;34
232;22;2459;57
233;132;1893;109
234;117;336;34
235;138;1863;131
236;29;2049;77
237;73;665;33
238;125;2474;90
239;79;3286;162
240;18;2763;32
241;92;1683;143
242;71;1946;49
243;58;1912;23
244;54;1904;77
245;97;2921;60
246;24;524;115
247;71;1946;49
248;23;2590;29
249;29;2049;77
250;74;2360;36
251;154;527;96
252;2;782;152
253;131;921;147
254;7;3186;61
255;96;1127;161
256;22;2459;57
257;16;1253;30
258;78;1517;94
259;4;319;76
260;92;1683;143
261;111;1999;98
262;45;566;51
263;82;2672;121
264;21;1433;50
265;17;473;121
266;64;3172;78
267;5;1745;83
268;35;1192;120
269;135;740;24
270;117;336;34
271;33;2409;148
272;62;2062;12
273;99;2945;150
274;57;136;99
275;17;473;121
276;27;2529;62
277;123;2364;152
278;53;205;9
279;78;1517;94
280;30;630;104
281;66;1886;148
282;76;475;55
283;116;1804;73
284;134;2517;180
285;40;16;52
286;107;2362;14
287;64;3172;78
288;133;1864;87
289;138;1863;131
290;18;2763;32
291;95;1130;83
292;12;1250;169
293;126;1899;21
294;39;846;52
295;133;1864;87
296;71;1946;49
297;75;1008;81
298;17;473;121
299;143;407;97
300;89;1115;109
301;142;1173;79
