Job;Item;TL;Processing Time
100000;A12;TL25;46
100001;A163;TL169;147
100002;A153;TL199;47
100003;A2;TL111;49
100004;A35;TL23;97
100005;A177;TL136;29
100006;A82;TL45;131
100007;A147;TL72;174
100008;A108;TL115;77
100009;A109;TL108;60
100010;A115;TL95;103
100011;A28;TL32;66
100012;A188;TL22;53
100013;A65;TL79;51
100014;A189;TL62;90
100015;A52;TL166;24
100016;A101;TL126;94
100017;A146;TL159;34
100018;A93;TL38;5
100019;A194;TL98;74
100020;A29;TL80;64
100021;A146;TL159;34
100022;A31;TL60;127
100023;A90;TL162;173
100024;A78;TL83;68
100025;A4;TL150;26
100026;A179;TL69;44
100027;A198;TL137;30
100028;A15;TL26;175
100029;A16;TL91;160
100030;A6;TL88;8
100031;A14;TL111;156
100032;A55;TL172;68
100033;A156;TL187;163
100034;A150;TL100;144
100035;A131;TL158;178
100036;A2;TL111;49
100037;A27;TL55;51
100038;A34;TL167;78
100039;A67;TL21;120
100040;A177;TL136;29
100041;A54;TL40;44
100042;A124;TL180;125
100043;A1;TL140;76
100044;A80;TL204;156
100045;A210;TL133;69
100046;A123;TL4;151
100047;A128;TL200;96
100048;A4;TL150;26
100049;A11;TL75;25
100050;A94;TL130;170
100051;A129;TL7;146
100052;A154;TL181;36
100053;A197;TL146;18
100054;A81;TL123;41
100055;A42;TL164;144
100056;A110;TL177;17
100057;A121;TL195;48
100058;A69;TL113;126
100059;A176;TL128;125
100060;A84;TL104;37
100061;A140;TL202;52
100062;A171;TL3;90
100063;A59;TL186;80
100064;A94;TL130;170
100065;A147;TL72;174
100066;A69;TL113;126
100067;A11;TL75;25
100068;A208;TL81;159
100069;A213;TL196;169
100070;A1;TL140;76
100071;A159;TL141;115
100072;A63;TL191;105
100073;A210;TL133;69
100074;A131;TL158;178
100075;A18;TL27;60
100076;A107;TL24;10
100077;A205;TL51;87
100078;A205;TL51;87
100079;A100;TL86;137
100080;A75;TL29;35
100081;A40;TL143;101
100082;A38;TL87;15
100083;A3;TL31;75
100084;A1;TL140;76
100085;A133;TL11;131
100086;A84;TL104;37
100087;A63;TL191;105
100088;A111;TL188;172
100089;A131;TL158;178
100090;A81;TL123;41
100091;A90;TL162;173
100092;A68;TL165;8
100093;A95;TL93;94
100094;A56;TL207;73
100095;A189;TL62;90
100096;A37;TL9;76
100097;A183;TL19;164
100098;A32;TL156;80
100099;A145;TL132;45
100100;A169;TL13;119
100101;A212;TL82;103
100102;A193;TL148;151
100103;A50;TL114;105
100104;A178;TL105;141
100105;A163;TL169;147
100106;A44;TL160;80
100107;A91;TL174;110
100108;A155;TL154;114
100109;A135;TL106;165
100110;A62;TL157;179
100111;A46;TL62;72
100112;A80;TL204;156
100113;A108;TL115;77
100114;A71;TL107;86
100115;A173;TL50;20
100116;A17;TL112;42
100117;A85;TL53;135
100118;A128;TL200;96
100119;A203;TL197;145
100120;A78;TL83;68
100121;A135;TL106;165
100122;A8;TL135;78
100123;A121;TL195;48
100124;A54;TL40;44
100125;A195;TL16;142
100126;A49;TL151;129
100127;A10;TL175;80
100128;A211;TL194;86
100129;A214;TL192;56
100130;A100;TL86;137
100131;A68;TL165;8
100132;A66;TL206;118
100133;A211;TL194;86
100134;A23;TL144;111
100135;A124;TL180;125
100136;A56;TL207;73
100137;A49;TL151;129
100138;A187;TL78;157
100139;A60;TL122;6
100140;A98;TL102;115
100141;A126;TL46;81
100142;A164;TL89;9
100143;A185;TL205;14
100144;A204;TL34;109
100145;A151;TL41;98
100146;A218;TL17;51
100147;A11;TL75;25
100148;A40;TL143;101
100149;A118;TL119;55
100150;A62;TL157;179
100151;A124;TL180;125
100152;A26;TL117;52
100153;A194;TL98;74
100154;A18;TL27;60
100155;A200;TL35;171
100156;A64;TL179;66
100157;A92;TL38;36
100158;A104;TL186;160
100159;A212;TL82;103
100160;A164;TL89;9
100161;A91;TL174;110
100162;A134;TL20;32
100163;A43;TL142;156
100164;A49;TL151;129
100165;A109;TL108;60
100166;A155;TL154;114
100167;A101;TL126;94
100168;A169;TL13;119
100169;A101;TL126;94
100170;A29;TL80;64
100171;A132;TL43;112
100172;A199;TL52;150
100173;A18;TL27;60
100174;A37;TL9;76
100175;A17;TL112;42
100176;A81;TL123;41
100177;A75;TL29;35
100178;A137;TL64;111
100179;A181;TL37;11
100180;A57;TL147;20
