n;p;r;Tarefas  finalizadas;Tarefas  prioritárias  não finalizadas;Total Tarefas  não finalizadas;Instâncias  de troca;Trocas de  ferramentas;Best Bound;Resultado;Tempo
5,00;0,50;0,50;5,00;0,00;0,00;0,00;0,00;150,00;150,00;0,00
10,00;0,50;0,50;10,00;0,00;0,00;0,00;0,00;300,00;300,00;0,05
14,00;0,50;0,50;14,00;0,00;0,00;0,00;0,00;420,00;420,00;0,22
20,00;0,50;0,50;20,00;0,00;0,00;0,00;0,00;600,00;600,00;2,24
25,00;0,50;0,50;25,00;0,00;0,00;0,00;0,00;750,00;750,00;8,52
29,00;0,50;0,50;29,00;0,00;0,00;0,00;0,00;870,00;870,00;27,30
50,00;0,50;0,50;50,00;0,00;0,00;0,00;0,00;1500,00;1500,00;528,79
5,00;0,50;0,60;5,00;0,00;0,00;0,00;0,00;150,00;150,00;0,00
10,00;0,50;0,60;10,00;0,00;0,00;0,00;0,00;300,00;300,00;0,03
15,00;0,50;0,60;15,00;0,00;0,00;0,00;0,00;450,00;450,00;0,14
20,00;0,50;0,60;20,00;0,00;0,00;0,00;0,00;600,00;600,00;0,71
25,00;0,50;0,60;25,00;0,00;0,00;0,00;0,00;750,00;750,00;8,82
29,00;0,50;0,60;29,00;0,00;0,00;0,00;0,00;870,00;870,00;16,29
50,00;0,50;0,60;50,00;0,00;0,00;0,00;0,00;1500,00;1500,00;950,57
5,00;0,50;0,40;5,00;0,00;0,00;0,00;0,00;150,00;150,00;0,06
10,00;0,50;0,40;10,00;0,00;0,00;0,00;0,00;300,00;300,00;0,04
15,00;0,50;0,40;15,00;0,00;0,00;0,00;0,00;450,00;450,00;0,16
20,00;0,50;0,40;20,00;0,00;0,00;0,00;0,00;600,00;600,00;4,75
24,00;0,50;0,40;24,00;0,00;0,00;0,00;0,00;720,00;720,00;6,41
30,00;0,50;0,40;30,00;0,00;0,00;0,00;0,00;900,00;900,00;34,91
50,00;0,50;0,40;50,00;0,00;0,00;0,00;0,00;1500,00;1500,00;3852,71
80,00;0,50;0,40;80,00;0,00;0,00;0,00;0,00;2400,00;2400,00;6293,00
