n;p;r;Tarefas  finalizadas;Tarefas  prioritárias  não finalizadas;Total Tarefas  não finalizadas;Instâncias  de troca;Trocas de  ferramentas;Media das Melhores  Soluções iniciais;Melhor solução S*;Médio da solução S;Desvio Padrão  Solução σ;Tempo de  execução (s);Convergencia;% gap entre S0 e S*
5,00;0,50;0,50;5,00;0,00;0,00;0,00;0,00;150,00;150,00;150,00;0,00;2,20;-0,20;0,00
10,00;0,50;0,50;10,00;0,00;0,00;0,00;0,00;300,00;300,00;300,00;0,00;3,23;-0,20;0,00
14,00;0,50;0,50;14,00;0,00;0,00;0,00;0,00;420,00;420,00;420,00;0,00;5,70;-0,20;0,00
20,00;0,50;0,50;20,00;0,00;0,00;0,00;0,00;600,00;600,00;600,00;0,00;8,41;-0,20;0,00
25,00;0,50;0,50;25,00;0,00;0,00;0,00;0,00;750,00;750,00;750,00;0,00;11,87;-0,20;0,00
29,00;0,50;0,50;29,00;0,00;0,00;0,00;0,00;870,00;870,00;870,00;0,00;15,09;-0,20;0,00
50,00;0,50;0,50;50,00;0,00;0,00;0,00;0,00;1500,00;1500,00;1500,00;0,00;29,05;-0,20;0,00
80,00;0,50;0,50;80,00;0,00;0,00;0,00;0,00;2385,00;2400,00;2400,00;0,00;53,84;0,00;0,62
130,00;0,50;0,50;130,00;0,00;0,00;1,00;67,10;3679,40;3824,00;3822,90;0,02;113,76;49,56;3,78
209,00;0,50;0,50;208,00;0,00;1,00;4,00;176,00;5325,90;6028,00;6024,00;0,05;240,59;54,14;11,65
376,00;0,50;0,50;258,30;14,80;117,70;10,60;430,70;1563,00;6800,00;6768,30;0,24;383,82;91,68;77,01
5,00;0,50;0,60;5,00;0,00;0,00;0,00;0,00;150,00;150,00;150,00;0,00;3,35;-0,20;0,00
10,00;0,50;0,60;10,00;0,00;0,00;0,00;0,00;300,00;300,00;300,00;0,00;5,63;-0,20;0,00
15,00;0,50;0,60;15,00;0,00;0,00;0,00;0,00;450,00;450,00;450,00;0,00;11,71;-0,20;0,00
20,00;0,50;0,60;20,00;0,00;0,00;0,00;0,00;600,00;600,00;600,00;0,00;15,87;-0,20;0,00
25,00;0,50;0,60;25,00;0,00;0,00;0,00;0,00;750,00;750,00;750,00;0,00;19,87;-0,20;0,00
29,00;0,50;0,60;29,00;0,00;0,00;0,00;0,00;870,00;870,00;870,00;0,00;23,49;-0,20;0,00
50,00;0,50;0,60;50,00;0,00;0,00;0,00;0,00;1500,00;1500,00;1500,00;0,00;47,44;-0,20;0,00
79,00;0,50;0,60;79,00;0,00;0,00;0,00;0,00;2370,00;2370,00;2370,00;0,00;84,67;-0,20;0,00
130,00;0,50;0,60;130,00;0,00;0,00;0,00;0,00;3900,00;3900,00;3900,00;0,00;155,09;-0,14;0,00
210,00;0,50;0,60;210,00;0,00;0,00;0,00;0,00;5962,50;6300,00;6300,00;0,00;280,90;3,86;5,36
340,00;0,50;0,60;340,00;0,00;0,00;3,10;90,60;9022,50;10098,00;10078,40;0,11;507,50;93,52;10,65
629,00;0,50;0,60;629,00;0,00;0,00;19,90;714,10;12688,00;17991,00;17956,90;0,11;1001,55;98,00;29,48
1201,00;0,50;0,60;736,80;36,30;464,20;56,50;2032,30;1814,90;18510,00;18417,70;0,35;1733,03;99,14;90,20
5,00;0,50;0,40;5,00;0,00;0,00;0,00;0,00;150,00;150,00;150,00;0,00;3,46;-0,20;0,00
10,00;0,50;0,40;10,00;0,00;0,00;0,00;0,00;300,00;300,00;300,00;0,00;6,55;-0,20;0,00
15,00;0,50;0,40;15,00;0,00;0,00;0,00;0,00;450,00;450,00;450,00;0,00;12,06;-0,20;0,00
20,00;0,50;0,40;20,00;0,00;0,00;0,00;0,00;600,00;600,00;600,00;0,00;15,49;-0,20;0,00
24,00;0,50;0,40;24,00;0,00;0,00;0,00;0,00;720,00;720,00;720,00;0,00;19,21;-0,20;0,00
30,00;0,50;0,40;30,00;0,00;0,00;0,00;0,00;900,00;900,00;900,00;0,00;23,80;-0,20;0,00
50,00;0,50;0,40;50,00;0,00;0,00;0,00;0,00;1500,00;1500,00;1500,00;0,00;42,52;-0,20;0,00
80,00;0,50;0,40;80,00;0,00;0,00;0,00;0,00;2400,00;2400,00;2400,00;0,00;77,26;-0,20;0,00
129,00;0,50;0,40;129,00;0,00;0,00;0,00;0,00;3870,00;3870,00;3870,00;0,00;133,53;-0,20;0,00
209,00;0,50;0,40;209,00;0,00;0,00;0,00;0,00;6243,60;6270,00;6270,00;0,00;255,11;0,00;0,42
339,00;0,50;0,40;339,00;0,00;0,00;0,30;2,20;9536,60;10170,00;10164,80;0,08;471,71;68,94;6,23
629,00;0,50;0,40;628,90;0,00;0,10;11,90;377,90;16150,40;18418,00;18370,10;0,13;1106,93;97,86;12,31
1401,00;0,50;0,40;776,60;92,70;624,40;74,00;1943,90;-1806,90;17972,00;17833,10;0,46;2168,22;99,48;110,05
