n;p;r;Tarefas  finalizadas;Tarefas  prioritárias  não finalizadas;Total Tarefas  não finalizadas;Instâncias  de troca;Trocas de  ferramentas;Resultado
5,00;0,50;0,50;5,00;3,00;0,00;0,00;0,00;60,00
10,00;0,50;0,50;10,00;6,00;0,00;0,00;0,00;120,00
14,00;0,50;0,50;14,00;7,00;0,00;0,00;0,00;210,00
20,00;0,50;0,50;20,00;10,00;0,00;0,00;0,00;300,00
25,00;0,50;0,50;25,00;12,00;0,00;0,00;0,00;390,00
29,00;0,50;0,50;29,00;15,00;0,00;0,00;0,00;420,00
50,00;0,50;0,50;50,00;25,00;0,00;0,00;0,00;750,00
80,00;0,50;0,50;80,00;40,00;0,00;2,00;26,00;1154,00
130,00;0,50;0,50;130,00;66,00;0,00;17,00;162,00;1588,00
209,00;0,50;0,50;207,00;103,00;2,00;34,00;462,00;2318,00
376,00;0,50;0,50;247,00;99,00;129,00;54,00;1076,00;2824,00
5,00;0,50;0,60;5,00;3,00;0,00;0,00;0,00;60,00
10,00;0,50;0,60;10,00;5,00;0,00;0,00;0,00;150,00
15,00;0,50;0,60;15,00;7,00;0,00;0,00;0,00;240,00
20,00;0,50;0,60;20,00;11,00;0,00;0,00;0,00;270,00
25,00;0,50;0,60;25,00;13,00;0,00;0,00;0,00;360,00
29,00;0,50;0,60;29,00;15,00;0,00;0,00;0,00;420,00
50,00;0,50;0,60;50,00;25,00;0,00;0,00;0,00;750,00
79,00;0,50;0,60;79,00;39,00;0,00;0,00;0,00;1200,00
130,00;0,50;0,60;130,00;65,00;0,00;0,00;0,00;1950,00
210,00;0,50;0,60;210,00;105,00;0,00;14,00;206,00;2804,00
340,00;0,50;0,60;340,00;171,00;0,00;69,00;681,00;3699,00
629,00;0,50;0,60;623,00;311,00;6,00;126,00;1770,00;6330,00
1201,00;0,50;0,60;669,00;286,00;532,00;197,00;4686,00;4834,00
5,00;0,50;0,40;5,00;2,00;0,00;0,00;0,00;90,00
10,00;0,50;0,40;10,00;5,00;0,00;0,00;0,00;150,00
15,00;0,50;0,40;15,00;7,00;0,00;0,00;0,00;240,00
20,00;0,50;0,40;20,00;10,00;0,00;0,00;0,00;300,00
24,00;0,50;0,40;24,00;12,00;0,00;0,00;0,00;360,00
30,00;0,50;0,40;30,00;15,00;0,00;0,00;0,00;450,00
50,00;0,50;0,40;50,00;26,00;0,00;0,00;0,00;720,00
80,00;0,50;0,40;80,00;40,00;0,00;0,00;0,00;1200,00
129,00;0,50;0,40;129,00;65,00;0,00;0,00;0,00;1920,00
209,00;0,50;0,40;209,00;105,00;0,00;6,00;28,00;3032,00
339,00;0,50;0,40;339,00;170,00;0,00;54,00;356,00;4174,00
629,00;0,50;0,40;625,00;311,00;4,00;128,00;1323,00;6817,00
1401,00;0,50;0,40;693,00;324,00;708,00;249,00;4291,00;4289,00
