n;p;r;Tarefas  finalizadas;Tarefas  prioritárias  não finalizadas;Total Tarefas  não finalizadas;Instâncias  de troca;Trocas de  ferramentas;Media das Melhores  Soluções iniciais;Melhor solução S*;Médio da solução S;Desvio Padrão  Solução σ;Tempo de  execução (s);Convergencia;% gap entre S0 e S*
5,00;0,50;0,50;5,00;0,00;0,00;0,00;0,00;;150,00;150,00;0,00;0,07;;
10,00;0,50;0,50;10,00;0,00;0,00;0,00;0,00;;300,00;300,00;0,00;0,10;;
14,00;0,50;0,50;14,00;0,00;0,00;0,00;0,00;;420,00;420,00;0,00;0,13;;
20,00;0,50;0,50;20,00;0,00;0,00;0,00;0,00;;600,00;600,00;0,00;0,16;;
25,00;0,50;0,50;25,00;0,00;0,00;0,00;0,00;;750,00;750,00;0,00;0,24;;
29,00;0,50;0,50;29,00;0,00;0,00;0,00;0,00;;870,00;870,00;0,00;0,30;;
50,00;0,50;0,50;50,00;0,00;0,00;0,00;0,00;;1500,00;1500,00;0,00;0,55;;
80,00;0,50;0,50;80,00;0,00;0,00;0,00;0,00;;2400,00;2400,00;0,00;1,01;;
130,00;0,50;0,50;130,00;0,00;0,00;2,00;81,00;;3799,00;3799,00;0,00;3,73;;
209,00;0,50;0,50;209,00;0,00;0,00;5,00;244,00;;5976,00;5976,00;0,00;16,49;;
376,00;0,50;0,50;259,00;25,00;117,00;21,00;526,00;;6284,00;6284,00;0,00;592,55;;
5,00;0,50;0,60;5,00;0,00;0,00;0,00;0,00;;150,00;150,00;0,00;0,12;;
10,00;0,50;0,60;10,00;0,00;0,00;0,00;0,00;;300,00;300,00;0,00;0,14;;
15,00;0,50;0,60;15,00;0,00;0,00;0,00;0,00;;450,00;450,00;0,00;0,20;;
20,00;0,50;0,60;20,00;0,00;0,00;0,00;0,00;;600,00;600,00;0,00;0,25;;
25,00;0,50;0,60;25,00;0,00;0,00;0,00;0,00;;750,00;750,00;0,00;0,31;;
29,00;0,50;0,60;29,00;0,00;0,00;0,00;0,00;;870,00;870,00;0,00;0,35;;
50,00;0,50;0,60;50,00;0,00;0,00;0,00;0,00;;1500,00;1500,00;0,00;0,77;;
79,00;0,50;0,60;79,00;0,00;0,00;0,00;0,00;;2370,00;2370,00;0,00;1,40;;
130,00;0,50;0,60;130,00;0,00;0,00;0,00;0,00;;3900,00;3900,00;0,00;2,77;;
210,00;0,50;0,60;210,00;0,00;0,00;0,00;0,00;;6300,00;6300,00;0,00;9,07;;
340,00;0,50;0,60;340,00;0,00;0,00;4,00;103,00;;10057,00;10057,00;0,00;41,04;;
629,00;0,50;0,60;624,00;0,00;5,00;41,00;713,00;;17597,00;17597,00;0,00;137,05;;
1201,00;0,50;0,60;679,00;237,00;522,00;73,00;1321,00;;11209,00;11209,00;0,00;416,01;;
5,00;0,50;0,40;5,00;0,00;0,00;0,00;0,00;;150,00;150,00;0,00;0,10;;
10,00;0,50;0,40;10,00;0,00;0,00;0,00;0,00;;300,00;300,00;0,00;0,11;;
15,00;0,50;0,40;15,00;0,00;0,00;0,00;0,00;;450,00;450,00;0,00;0,19;;
20,00;0,50;0,40;20,00;0,00;0,00;0,00;0,00;;600,00;600,00;0,00;0,25;;
24,00;0,50;0,40;24,00;0,00;0,00;0,00;0,00;;720,00;720,00;0,00;0,33;;
30,00;0,50;0,40;30,00;0,00;0,00;0,00;0,00;;900,00;900,00;0,00;0,37;;
50,00;0,50;0,40;50,00;0,00;0,00;0,00;0,00;;1500,00;1500,00;0,00;0,72;;
80,00;0,50;0,40;80,00;0,00;0,00;0,00;0,00;;2400,00;2400,00;0,00;1,34;;
129,00;0,50;0,40;129,00;0,00;0,00;0,00;0,00;;3870,00;3870,00;0,00;2,36;;
209,00;0,50;0,40;209,00;0,00;0,00;0,00;0,00;;6270,00;6270,00;0,00;5,51;;
339,00;0,50;0,40;339,00;0,00;0,00;1,00;32,00;;10128,00;10128,00;0,00;33,82;;
629,00;0,50;0,40;629,00;0,00;0,00;23,00;433,00;;18207,00;18207,00;0,00;113,86;;
1401,00;0,50;0,40;751,00;300,00;650,00;115,00;1673,00;;10707,00;10707,00;0,00;843,07;;
