Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instanceLarge1_m=3_n=50_l=30_c=10_s=0;49,0;1,0;104,9;44,3;-206,4;-134,9;892,1;4,0362;73,9
instanceLarge2_m=3_n=50_l=30_c=10_s=1;50,0;0,0;109,8;45,4;-183,5;-109,8;936,2;4,0349;65,2
instanceLarge3_m=3_n=50_l=30_c=10_s=2;50,0;0,0;111,6;45,5;-184,4;-111,6;933,4;4,0358;74,2
instanceLarge4_m=3_n=50_l=30_c=10_s=0;50,0;0,0;109,4;46,4;-180,0;-109,4;926,6;4,0244;68,6
instanceLarge5_m=3_n=50_l=30_c=10_s=1;49,0;1,0;108,2;44,5;-216,6;-138,2;886,8;4,0275;70,2
instanceLarge6_m=3_n=50_l=30_c=10_s=2;50,0;0,0;114,3;45,4;-194,1;-114,3;931,7;4,0277;77,7
instanceLarge7_m=3_n=50_l=30_c=10_s=0;49,0;1,0;105,1;44,3;-204,6;-135,1;891,9;4,0388;76,7
instanceLarge8_m=3_n=50_l=30_c=10_s=1;50,0;0,0;107,7;45,1;-180,3;-107,7;941,3;4,032;73,5
instanceLarge9_m=3_n=50_l=30_c=10_s=2;50,0;0,0;111,8;45,7;-192,3;-111,8;931,2;4,0188;68,9
instanceLarge10_m=3_n=50_l=30_c=10_s=0;50,0;0,0;108,9;45,4;-180,5;-108,9;937,1;4,0241;73,1
instanceLarge11_m=3_n=50_l=30_c=10_s=1;50,0;0,0;109,2;45,6;-178,0;-109,2;934,8;4,0231;70,4
instanceLarge12_m=3_n=50_l=30_c=10_s=2;50,0;0,0;112,0;46,0;-185,2;-112,0;928,0;4,0309;66,6
instanceLarge13_m=3_n=50_l=30_c=10_s=0;50,0;0,0;108,4;46,2;-179,6;-108,4;929,6;4,0205;68,0
instanceLarge14_m=3_n=50_l=30_c=10_s=1;50,0;0,0;110,6;45,7;-183,4;-110,6;932,4;4,0425;76,8
instanceLarge15_m=3_n=50_l=30_c=10_s=2;49,0;1,0;104,7;44,5;-204,5;-134,7;890,3;4,0283;79,2
instanceLarge16_m=3_n=50_l=30_c=10_s=0;50,0;0,0;113,4;46,2;-194,3;-113,4;924,6;4,026;68,5
instanceLarge17_m=3_n=50_l=30_c=10_s=1;50,0;0,0;108,7;45,3;-177,6;-108,7;938,3;4,0272;76,6
instanceLarge18_m=3_n=50_l=30_c=10_s=2;50,0;0,0;116,6;45,6;-203,3;-116,6;927,4;4,0278;74,0
instanceLarge19_m=3_n=50_l=30_c=10_s=0;49,0;1,0;104,7;45,1;-205,2;-134,7;884,3;4,0315;80,2
instanceLarge20_m=3_n=50_l=30_c=10_s=1;50,0;0,0;107,7;46,0;-179,4;-107,7;932,3;4,0291;85,6
instanceLarge21_m=3_n=50_l=30_c=10_s=2;50,0;0,0;110,6;45,6;-184,1;-110,6;933,4;4,0244;71,3
instanceLarge22_m=3_n=50_l=30_c=10_s=0;50,0;0,0;114,1;45,3;-200,1;-114,1;932,9;4,0272;68,1
instanceLarge23_m=3_n=50_l=30_c=10_s=1;49,0;1,0;105,1;44,7;-206,5;-135,1;887,9;4,0207;72,6
instanceLarge24_m=3_n=50_l=30_c=10_s=2;49,0;1,0;104,5;44,5;-205,9;-134,5;890,5;4,0212;70,6
instanceLarge25_m=3_n=50_l=30_c=10_s=0;49,0;1,0;108,3;44,8;-217,3;-138,3;883,7;4,0268;58,4
instanceLarge26_m=3_n=50_l=30_c=10_s=1;50,0;0,0;108,2;45,4;-178,7;-108,2;937,8;4,0289;83,8
instanceLarge27_m=3_n=50_l=30_c=10_s=2;50,0;0,0;113,2;46,1;-197,6;-113,2;925,8;4,031;74,6
instanceLarge28_m=3_n=50_l=30_c=10_s=0;50,0;0,0;109,2;45,9;-180,1;-109,2;931,8;4,0297;66,0
instanceLarge29_m=3_n=50_l=30_c=10_s=1;49,0;1,0;104,1;44,8;-203,3;-134,1;887,9;4,0239;69,4
instanceLarge30_m=3_n=50_l=30_c=10_s=2;50,0;0,0;112,2;45,8;-188,8;-112,2;929,8;4,0233;67,0
instanceLarge31_m=3_n=50_l=30_c=20_s=0;50,0;0,0;41,5;31,1;-92,5;-41,5;1147,5;4,6211;68,8
instanceLarge32_m=3_n=50_l=30_c=20_s=1;50,0;0,0;40,6;30,5;-92,5;-40,6;1154,4;4,6187;58,5
instanceLarge33_m=3_n=50_l=30_c=20_s=2;50,0;0,0;44,5;33,1;-109,4;-44,5;1124,5;4,6188;77,5
instanceLarge34_m=3_n=50_l=30_c=20_s=0;50,0;0,0;39,9;30,0;-91,0;-39,9;1160,1;4,6053;75,4
instanceLarge35_m=3_n=50_l=30_c=20_s=1;49,0;1,0;39,7;30,2;-119,1;-69,7;1098,3;4,5914;64,3
instanceLarge36_m=3_n=50_l=30_c=20_s=2;50,0;0,0;43,7;32,6;-105,9;-43,7;1130,3;4,6083;54,9
instanceLarge37_m=3_n=50_l=30_c=20_s=0;50,0;0,0;40,1;29,5;-91,2;-40,1;1164,9;4,5899;80,8
instanceLarge38_m=3_n=50_l=30_c=20_s=1;50,0;0,0;43,3;30,6;-113,1;-43,3;1150,7;4,6004;73,8
instanceLarge39_m=3_n=50_l=30_c=20_s=2;50,0;0,0;43,2;32,3;-106,3;-43,2;1133,8;4,6078;66,1
instanceLarge40_m=3_n=50_l=30_c=20_s=0;50,0;0,0;46,4;34,1;-115,8;-46,4;1112,6;4,6262;74,2
instanceLarge41_m=3_n=50_l=30_c=20_s=1;50,0;0,0;44,4;33,4;-109,7;-44,4;1121,6;4,6112;80,7
instanceLarge42_m=3_n=50_l=30_c=20_s=2;50,0;0,0;41,4;31,0;-95,9;-41,4;1148,6;4,6096;75,2
instanceLarge43_m=3_n=50_l=30_c=20_s=0;50,0;0,0;40,7;30,2;-90,6;-40,7;1157,3;4,6066;71,8
instanceLarge44_m=3_n=50_l=30_c=20_s=1;50,0;0,0;40,4;29,9;-91,1;-40,4;1160,6;4,6101;59,9
instanceLarge45_m=3_n=50_l=30_c=20_s=2;50,0;0,0;42,3;31,8;-94,0;-42,3;1139,7;4,6281;87,2
instanceLarge46_m=3_n=50_l=30_c=20_s=0;49,0;1,0;42,1;31,7;-136,5;-72,1;1080,9;4,5972;74,5
instanceLarge47_m=3_n=50_l=30_c=20_s=1;50,0;0,0;40,1;29,7;-89,3;-40,1;1162,9;4,6183;73,8
instanceLarge48_m=3_n=50_l=30_c=20_s=2;50,0;0,0;43,5;32,7;-96,5;-43,5;1129,5;4,6192;61,4
instanceLarge49_m=3_n=50_l=30_c=20_s=0;50,0;0,0;40,5;30,6;-92,2;-40,5;1153,5;4,605;75,1
