Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instance1_m=2_n=8_l=15_c=5_s=0;8,0;0,0;13,0;6,0;-16,5;-13,0;167,0;0,7371;0,0
instance2_m=2_n=8_l=15_c=5_s=1;8,0;0,0;13,0;6,0;-16,8;-13,0;167,0;0,73;0,0
instance3_m=2_n=8_l=15_c=5_s=2;8,0;0,0;13,0;6,0;-17,4;-13,0;167,0;0,7269;-0,1
instance4_m=2_n=8_l=15_c=5_s=0;8,0;0,0;13,0;6,0;-21,9;-13,0;167,0;0,741;0,0
instance5_m=2_n=8_l=15_c=5_s=1;8,0;0,0;13,0;6,0;-19,8;-13,0;167,0;0,7404;0,0
instance6_m=2_n=8_l=15_c=5_s=2;8,0;0,0;13,0;6,0;-24,9;-13,0;167,0;0,7409;0,0
instance7_m=2_n=8_l=15_c=5_s=0;8,0;0,0;14,0;5,8;-20,8;-14,0;168,0;0,7388;-0,1
instance8_m=2_n=8_l=15_c=5_s=1;8,0;0,0;14,0;5,9;-20,2;-14,0;167,0;0,7329;0,0
instance9_m=2_n=8_l=15_c=5_s=2;8,0;0,0;14,0;5,9;-20,4;-14,0;167,0;0,7308;0,0
instance10_m=2_n=8_l=15_c=5_s=0;8,0;0,0;13,0;6,0;-25,7;-13,0;167,0;0,7381;0,0
instance11_m=2_n=8_l=15_c=5_s=1;8,0;0,0;13,0;6,0;-21,1;-13,0;167,0;0,7325;0,0
instance12_m=2_n=8_l=15_c=5_s=2;8,0;0,0;13,0;6,0;-25,8;-13,0;167,0;0,7363;0,0
instance13_m=2_n=8_l=15_c=5_s=0;8,0;0,0;13,0;5,9;-15,2;-13,0;168,0;0,7304;0,0
instance14_m=2_n=8_l=15_c=5_s=1;8,0;0,0;13,0;6,0;-17,6;-13,0;167,0;0,7311;0,0
instance15_m=2_n=8_l=15_c=5_s=2;8,0;0,0;13,0;6,0;-19,8;-13,0;167,0;0,7254;0,0
instance16_m=2_n=8_l=15_c=5_s=0;8,0;0,0;14,0;6,0;-35,5;-14,0;166,0;0,7219;0,0
instance17_m=2_n=8_l=15_c=5_s=1;8,0;0,0;14,0;6,0;-21,1;-14,0;166,0;0,7187;0,0
instance18_m=2_n=8_l=15_c=5_s=2;8,0;0,0;14,0;6,0;-26,2;-14,0;166,0;0,7196;0,0
instance19_m=2_n=8_l=15_c=5_s=0;7,0;1,0;8,0;5,0;-40,5;-38,0;122,0;0,7209;0,2
instance20_m=2_n=8_l=15_c=5_s=1;7,0;1,0;8,0;5,0;-40,1;-38,0;122,0;0,7218;0,1
instance21_m=2_n=8_l=15_c=5_s=2;7,0;1,0;8,0;5,0;-40,5;-38,0;122,0;0,7191;0,0
instance22_m=2_n=8_l=15_c=5_s=0;8,0;0,0;13,0;6,0;-25,4;-13,0;167,0;0,7238;0,0
instance23_m=2_n=8_l=15_c=5_s=1;8,0;0,0;13,0;6,0;-27,9;-13,0;167,0;0,723;0,0
instance24_m=2_n=8_l=15_c=5_s=2;8,0;0,0;13,0;6,0;-17,2;-13,0;167,0;0,7243;0,0
instance25_m=2_n=8_l=15_c=5_s=0;8,0;0,0;12,0;5,0;-14,6;-12,0;178,0;0,7385;0,2
instance26_m=2_n=8_l=15_c=5_s=1;8,0;0,0;12,0;5,0;-14,1;-12,0;178,0;0,7393;0,1
instance27_m=2_n=8_l=15_c=5_s=2;8,0;0,0;12,0;5,0;-14,2;-12,0;178,0;0,7362;0,8
instance28_m=2_n=8_l=15_c=5_s=0;8,0;0,0;14,0;6,0;-28,1;-14,0;166,0;0,7286;0,0
instance29_m=2_n=8_l=15_c=5_s=1;8,0;0,0;14,0;6,0;-28,4;-14,0;166,0;0,7259;0,0
instance30_m=2_n=8_l=15_c=5_s=2;8,0;0,0;14,0;6,0;-30,5;-14,0;166,0;0,73;0,0
instance31_m=2_n=8_l=15_c=10_s=0;8,0;0,0;2,0;1,0;-21,6;-2,0;228,0;0,7661;-0,1
instance32_m=2_n=8_l=15_c=10_s=1;8,0;0,0;2,0;1,0;-16,0;-2,0;228,0;0,7673;-0,1
instance33_m=2_n=8_l=15_c=10_s=2;8,0;0,0;2,0;1,0;-18,8;-2,0;228,0;0,77;0,0
instance34_m=2_n=8_l=15_c=10_s=0;8,0;0,0;1,0;1,0;-12,6;-1,0;229,0;0,7733;0,0
instance35_m=2_n=8_l=15_c=10_s=1;8,0;0,0;1,0;1,0;-6,8;-1,0;229,0;0,7792;0,0
instance36_m=2_n=8_l=15_c=10_s=2;8,0;0,0;1,0;1,0;-9,7;-1,0;229,0;0,7736;0,0
instance37_m=2_n=8_l=15_c=10_s=0;7,0;1,0;0,0;0,0;-30,0;-30,0;180,0;0,7581;-0,5
instance38_m=2_n=8_l=15_c=10_s=1;7,0;1,0;0,0;0,0;-30,0;-30,0;180,0;0,7581;-0,3
instance39_m=2_n=8_l=15_c=10_s=2;7,0;1,0;0,0;0,0;-30,0;-30,0;180,0;0,7631;-0,3
instance40_m=2_n=8_l=15_c=10_s=0;8,0;0,0;2,0;1,3;-24,4;-2,0;225,0;0,7602;0,0
