Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instance1_m=2_n=8_l=15_c=5_s=0;7,0;1,0;12,0;5,0;0;-222,0;118,0;0,0;0
instance2_m=2_n=8_l=15_c=5_s=1;7,0;1,0;12,0;5,0;0;-222,0;118,0;0,0;0
instance3_m=2_n=8_l=15_c=5_s=2;7,0;1,0;12,0;5,0;0;-222,0;118,0;0,0;0
instance4_m=2_n=8_l=15_c=5_s=0;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance5_m=2_n=8_l=15_c=5_s=1;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance6_m=2_n=8_l=15_c=5_s=2;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance7_m=2_n=8_l=15_c=5_s=0;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance8_m=2_n=8_l=15_c=5_s=1;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance9_m=2_n=8_l=15_c=5_s=2;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance10_m=2_n=8_l=15_c=5_s=0;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance11_m=2_n=8_l=15_c=5_s=1;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance12_m=2_n=8_l=15_c=5_s=2;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance13_m=2_n=8_l=15_c=5_s=0;7,0;1,0;14,0;5,0;0;-224,0;116,0;0,0;0
instance14_m=2_n=8_l=15_c=5_s=1;7,0;1,0;14,0;5,0;0;-224,0;116,0;0,0;0
instance15_m=2_n=8_l=15_c=5_s=2;7,0;1,0;14,0;5,0;0;-224,0;116,0;0,0;0
instance16_m=2_n=8_l=15_c=5_s=0;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance17_m=2_n=8_l=15_c=5_s=1;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance18_m=2_n=8_l=15_c=5_s=2;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance19_m=2_n=8_l=15_c=5_s=0;7,0;1,0;10,0;4,0;0;-220,0;130,0;0,0;0
instance20_m=2_n=8_l=15_c=5_s=1;7,0;1,0;10,0;4,0;0;-220,0;130,0;0,0;0
instance21_m=2_n=8_l=15_c=5_s=2;7,0;1,0;10,0;4,0;0;-220,0;130,0;0,0;0
instance22_m=2_n=8_l=15_c=5_s=0;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance23_m=2_n=8_l=15_c=5_s=1;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance24_m=2_n=8_l=15_c=5_s=2;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance25_m=2_n=8_l=15_c=5_s=0;7,0;1,0;14,0;5,0;0;-224,0;116,0;0,0;0
instance26_m=2_n=8_l=15_c=5_s=1;7,0;1,0;14,0;5,0;0;-224,0;116,0;0,0;0
instance27_m=2_n=8_l=15_c=5_s=2;7,0;1,0;14,0;5,0;0;-224,0;116,0;0,0;0
instance28_m=2_n=8_l=15_c=5_s=0;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance29_m=2_n=8_l=15_c=5_s=1;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance30_m=2_n=8_l=15_c=5_s=2;7,0;1,0;16,0;5,0;0;-226,0;114,0;0,0;0
instance31_m=2_n=8_l=15_c=10_s=0;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance32_m=2_n=8_l=15_c=10_s=1;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance33_m=2_n=8_l=15_c=10_s=2;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance34_m=2_n=8_l=15_c=10_s=0;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance35_m=2_n=8_l=15_c=10_s=1;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance36_m=2_n=8_l=15_c=10_s=2;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance37_m=2_n=8_l=15_c=10_s=0;7,0;1,0;0,0;0,0;0;-210,0;180,0;0,0;0
instance38_m=2_n=8_l=15_c=10_s=1;7,0;1,0;0,0;0,0;0;-210,0;180,0;0,0;0
instance39_m=2_n=8_l=15_c=10_s=2;7,0;1,0;0,0;0,0;0;-210,0;180,0;0,0;0
instance40_m=2_n=8_l=15_c=10_s=0;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance41_m=2_n=8_l=15_c=10_s=1;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance42_m=2_n=8_l=15_c=10_s=2;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance43_m=2_n=8_l=15_c=10_s=0;7,0;1,0;0,0;0,0;0;-210,0;180,0;0,0;0
instance44_m=2_n=8_l=15_c=10_s=1;7,0;1,0;0,0;0,0;0;-210,0;180,0;0,0;0
instance45_m=2_n=8_l=15_c=10_s=2;7,0;1,0;0,0;0,0;0;-210,0;180,0;0,0;0
instance46_m=2_n=8_l=15_c=10_s=0;7,0;1,0;2,0;2,0;0;-212,0;158,0;0,0;0
instance47_m=2_n=8_l=15_c=10_s=1;7,0;1,0;2,0;2,0;0;-212,0;158,0;0,0;0
instance48_m=2_n=8_l=15_c=10_s=2;7,0;1,0;2,0;2,0;0;-212,0;158,0;0,0;0
instance49_m=2_n=8_l=15_c=10_s=0;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance50_m=2_n=8_l=15_c=10_s=1;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance51_m=2_n=8_l=15_c=10_s=2;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance52_m=2_n=8_l=15_c=10_s=0;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance53_m=2_n=8_l=15_c=10_s=1;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance54_m=2_n=8_l=15_c=10_s=2;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance55_m=2_n=8_l=15_c=10_s=0;7,0;1,0;3,0;2,0;0;-213,0;157,0;0,0;0
instance56_m=2_n=8_l=15_c=10_s=1;7,0;1,0;3,0;2,0;0;-213,0;157,0;0,0;0
instance57_m=2_n=8_l=15_c=10_s=2;7,0;1,0;3,0;2,0;0;-213,0;157,0;0,0;0
instance58_m=2_n=8_l=15_c=10_s=0;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance59_m=2_n=8_l=15_c=10_s=1;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance60_m=2_n=8_l=15_c=10_s=2;7,0;1,0;1,0;1,0;0;-211,0;169,0;0,0;0
instance61_m=2_n=8_l=15_c=10_s=0;7,0;1,0;9,0;5,0;0;-219,0;121,0;0,0;0
instance62_m=2_n=8_l=15_c=10_s=1;7,0;1,0;9,0;5,0;0;-219,0;121,0;0,0;0
instance63_m=2_n=8_l=15_c=10_s=2;7,0;1,0;9,0;5,0;0;-219,0;121,0;0,0;0
instance64_m=2_n=8_l=15_c=10_s=0;7,0;1,0;8,0;5,0;0;-218,0;122,0;0,0;0
instance65_m=2_n=8_l=15_c=10_s=1;7,0;1,0;8,0;5,0;0;-218,0;122,0;0,0;0
instance66_m=2_n=8_l=15_c=10_s=2;7,0;1,0;8,0;5,0;0;-218,0;122,0;0,0;0
instance67_m=2_n=8_l=15_c=10_s=0;7,0;1,0;10,0;4,0;0;-220,0;130,0;0,0;0
instance68_m=2_n=8_l=15_c=10_s=1;7,0;1,0;10,0;4,0;0;-220,0;130,0;0,0;0
instance69_m=2_n=8_l=15_c=10_s=2;7,0;1,0;10,0;4,0;0;-220,0;130,0;0,0;0
instance70_m=2_n=8_l=15_c=10_s=0;7,0;1,0;10,0;5,0;0;-220,0;120,0;0,0;0
instance71_m=2_n=8_l=15_c=10_s=1;7,0;1,0;10,0;5,0;0;-220,0;120,0;0,0;0
instance72_m=2_n=8_l=15_c=10_s=2;7,0;1,0;10,0;5,0;0;-220,0;120,0;0,0;0
instance73_m=2_n=8_l=15_c=10_s=0;7,0;1,0;11,0;5,0;0;-221,0;119,0;0,0;0
instance74_m=2_n=8_l=15_c=10_s=1;7,0;1,0;11,0;5,0;0;-221,0;119,0;0,0;0
instance75_m=2_n=8_l=15_c=10_s=2;7,0;1,0;11,0;5,0;0;-221,0;119,0;0,0;0
instance76_m=2_n=8_l=15_c=10_s=0;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance77_m=2_n=8_l=15_c=10_s=1;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance78_m=2_n=8_l=15_c=10_s=2;7,0;1,0;13,0;5,0;0;-223,0;117,0;0,0;0
instance79_m=2_n=8_l=15_c=10_s=0;7,0;1,0;5,0;4,0;0;-215,0;135,0;0,0;0
instance80_m=2_n=8_l=15_c=10_s=1;7,0;1,0;5,0;4,0;0;-215,0;135,0;0,0;0
instance81_m=2_n=8_l=15_c=10_s=2;7,0;1,0;5,0;4,0;0;-215,0;135,0;0,0;0
instance82_m=2_n=8_l=15_c=10_s=0;7,0;1,0;12,0;4,0;0;-222,0;128,0;0,0;0
instance83_m=2_n=8_l=15_c=10_s=1;7,0;1,0;12,0;4,0;0;-222,0;128,0;0,0;0
