Instancia;Tarefas Finalizadas;Tarefas não finalizads;Trocas;Instancias de troca;Soluções Iniciais;Soluções Final;Soluções Final Real;Tempo;PTL
instanceLarge1_m=3_n=50_l=30_c=10_s=0;48.0;2.0;180.0;43.0;0;-1620,0;770,0;0,0;0
instanceLarge2_m=3_n=50_l=30_c=10_s=1;49.0;1.0;186.0;44.0;0;-1656,0;814,0;0,0;0
instanceLarge3_m=3_n=50_l=30_c=10_s=2;49.0;1.0;186.0;44.0;0;-1656,0;814,0;0,0;0
instanceLarge4_m=3_n=50_l=30_c=10_s=0;49.0;1.0;184.0;45.0;0;-1654,0;806,0;0,0;0
instanceLarge5_m=3_n=50_l=30_c=10_s=1;48.0;2.0;180.0;44.0;0;-1620,0;760,0;0,0;0
instanceLarge6_m=3_n=50_l=30_c=10_s=2;49.0;1.0;184.0;45.0;0;-1654,0;806,0;0,0;0
instanceLarge7_m=3_n=50_l=30_c=10_s=0;48.0;2.0;169.0;45.0;0;-1609,0;761,0;0,0;0
instanceLarge8_m=3_n=50_l=30_c=10_s=1;50.0;0.0;179.0;47.0;0;-1679,0;851,0;0,0;0
instanceLarge9_m=3_n=50_l=30_c=10_s=2;49.0;1.0;174.0;46.0;0;-1644,0;806,0;0,0;0
instanceLarge10_m=3_n=50_l=30_c=10_s=0;49.0;1.0;184.0;45.0;0;-1654,0;806,0;0,0;0
instanceLarge11_m=3_n=50_l=30_c=10_s=1;50.0;0.0;191.0;46.0;0;-1691,0;849,0;0,0;0
instanceLarge12_m=3_n=50_l=30_c=10_s=2;49.0;1.0;184.0;45.0;0;-1654,0;806,0;0,0;0
instanceLarge13_m=3_n=50_l=30_c=10_s=0;50.0;0.0;185.0;47.0;0;-1685,0;845,0;0,0;0
instanceLarge14_m=3_n=50_l=30_c=10_s=1;49.0;1.0;181.0;46.0;0;-1651,0;799,0;0,0;0
instanceLarge15_m=3_n=50_l=30_c=10_s=2;48.0;2.0;178.0;45.0;0;-1618,0;752,0;0,0;0
instanceLarge16_m=3_n=50_l=30_c=10_s=0;49.0;1.0;193.0;45.0;0;-1663,0;797,0;0,0;0
instanceLarge17_m=3_n=50_l=30_c=10_s=1;50.0;0.0;193.0;45.0;0;-1693,0;857,0;0,0;0
instanceLarge18_m=3_n=50_l=30_c=10_s=2;48.0;2.0;187.0;44.0;0;-1627,0;753,0;0,0;0
instanceLarge19_m=3_n=50_l=30_c=10_s=0;48.0;2.0;179.0;45.0;0;-1619,0;751,0;0,0;0
instanceLarge20_m=3_n=50_l=30_c=10_s=1;50.0;0.0;185.0;47.0;0;-1685,0;845,0;0,0;0
instanceLarge21_m=3_n=50_l=30_c=10_s=2;49.0;1.0;184.0;46.0;0;-1654,0;796,0;0,0;0
instanceLarge22_m=3_n=50_l=30_c=10_s=0;49.0;1.0;192.0;45.0;0;-1662,0;798,0;0,0;0
instanceLarge23_m=3_n=50_l=30_c=10_s=1;48.0;2.0;189.0;44.0;0;-1629,0;751,0;0,0;0
instanceLarge24_m=3_n=50_l=30_c=10_s=2;49.0;1.0;192.0;45.0;0;-1662,0;798,0;0,0;0
instanceLarge25_m=3_n=50_l=30_c=10_s=0;48.0;2.0;191.0;44.0;0;-1631,0;749,0;0,002;0
instanceLarge26_m=3_n=50_l=30_c=10_s=1;49.0;1.0;191.0;44.0;0;-1661,0;809,0;0,0;0
instanceLarge27_m=3_n=50_l=30_c=10_s=2;48.0;2.0;191.0;44.0;0;-1631,0;749,0;0,0;0
instanceLarge28_m=3_n=50_l=30_c=10_s=0;49.0;1.0;186.0;44.0;0;-1656,0;814,0;0,0;0
instanceLarge29_m=3_n=50_l=30_c=10_s=1;48.0;2.0;180.0;43.0;0;-1620,0;770,0;0,002;0
instanceLarge30_m=3_n=50_l=30_c=10_s=2;49.0;1.0;186.0;44.0;0;-1656,0;814,0;0,0;0
instanceLarge31_m=3_n=50_l=30_c=20_s=0;49.0;1.0;110.0;39.0;0;-1580,0;940,0;0,0;0
instanceLarge32_m=3_n=50_l=30_c=20_s=1;49.0;1.0;110.0;39.0;0;-1580,0;940,0;0,0;0
instanceLarge33_m=3_n=50_l=30_c=20_s=2;48.0;2.0;106.0;38.0;0;-1546,0;894,0;0,0;0
instanceLarge34_m=3_n=50_l=30_c=20_s=0;49.0;1.0;88.0;41.0;0;-1558,0;942,0;0,0;0
instanceLarge35_m=3_n=50_l=30_c=20_s=1;48.0;2.0;86.0;40.0;0;-1526,0;894,0;0,0;0
instanceLarge36_m=3_n=50_l=30_c=20_s=2;49.0;1.0;88.0;41.0;0;-1558,0;942,0;0,0;0
instanceLarge37_m=3_n=50_l=30_c=20_s=0;49.0;1.0;95.0;42.0;0;-1565,0;925,0;0,0;0
instanceLarge38_m=3_n=50_l=30_c=20_s=1;48.0;2.0;93.0;41.0;0;-1533,0;877,0;0,0;0
instanceLarge39_m=3_n=50_l=30_c=20_s=2;48.0;2.0;93.0;41.0;0;-1533,0;877,0;0,0;0
instanceLarge40_m=3_n=50_l=30_c=20_s=0;48.0;2.0;79.0;39.0;0;-1519,0;911,0;0,0;0
instanceLarge41_m=3_n=50_l=30_c=20_s=1;49.0;1.0;81.0;40.0;0;-1551,0;959,0;0,0;0
instanceLarge42_m=3_n=50_l=30_c=20_s=2;49.0;1.0;81.0;40.0;0;-1551,0;959,0;0,0;0
