/home/mateus/WSL/IC/SSP/input/ExemploArtigo/Jobs.csv;/home/mateus/WSL/IC/SSP/input/ExemploArtigo/ToolSets.csv
2;720;1440
Machine: 0 = (3,1);(3,2);(2,1);(4,1);(4,2);
3;1;0;360;1;4,5,8,9,10,11,12,13,
3;2;360;840;1;4,5,8,9,10,11,12,13,
2;1;1440;1860;1;4,12,13,14,15,16,17,18,
4;1;1860;2100;1;4,12,13,14,15,16,17,18,
4;2;2100;2640;1;4,12,13,14,15,16,17,18,
END;5;13;2;0;117
Machine: 1 = (6,1);(5,1);(1,1);(1,2);(7,1);
6;1;0;600;1;0,1,2,3,4,5,6,7,
5;1;600;960;1;0,1,2,3,4,5,6,7,
1;1;960;1140;1;0,1,2,3,4,5,6,7,
1;2;1140;1440;1;0,1,2,3,4,5,6,7,
7;1;1440;1740;1;0,1,2,3,4,5,6,7,
END;5;8;1;0;132
249
