./input/MyInstancesDiferentToolSets/n=228,p=0.25,r=0.6,t=1520,v3.csv;./input/ToolSetInt.csv
2;720;1440
Machine: 0
0;0;0;131;1;248,736,1558,1992,2836,2837,2838,4102,
8;0;131;236;1;248,736,1558,1992,2836,2837,2838,4102,
0;1;236;298;1;248,736,1558,1992,2836,2837,2838,4102,
31;0;298;392;1;2722,5304,8171,8174,8320,8321,8322,8323,
37;1;392;445;0;152,499,547,1249,1281,1304,1541,1935,
18;0;445;563;1;1481,3526,6114,6225,7186,7295,7315,7316,
18;1;563;694;1;130,7692,7693,7694,7695,7696,7697,7698,
54;0;694;715;0;37,38,40,55,56,111,486,3029,
41;1;715;719;0;15,871,2062,4313,4314,4315,4316,4317,
22;0;719;723;1;15,871,2062,4313,4314,4315,4316,4317,
47;1;723;757;0;15,871,2062,4313,4314,4315,4316,4317,
13;0;757;914;1;15,871,2062,4313,4314,4315,4316,4317,
4;0;914;1013;1;15,871,2062,4313,4314,4315,4316,4317,
72;1;1013;1157;0;15,871,2062,4313,4314,4315,4316,4317,
23;1;1157;1300;1;15,16,34,41,42,43,44,45,
4;1;1440;1521;1;15,16,17,19,20,34,44,45,
70;0;1521;1544;0;15,16,19,34,35,46,51,52,
8;1;1544;1552;1;15,18,21,35,36,44,52,494,
27;0;1552;1633;1;144,262,277,391,429,1056,1093,1398,
27;1;1633;1731;1;144,692,1529,2627,2657,2692,2986,6235,
30;0;1731;1814;1;100,144,436,1399,1814,2382,5202,5419,
68;1;1814;1818;0;135,139,377,398,1052,1920,1978,2359,
3;0;1818;1896;1;135,144,149,1478,1920,1922,4088,5274,
20;1;1896;1902;1;135,144,149,225,260,276,1478,1920,
59;1;1902;1948;0;144,225,288,432,1117,1401,1474,1478,
79;1;1948;1966;0;144,225,262,321,397,404,1478,1521,
17;1;1966;2062;1;3,225,404,1470,1478,1679,1809,1944,
20;0;2062;2140;1;1274,2148,2873,3409,3709,3802,3829,4060,
29;0;2140;2319;1;354,355,356,357,1274,2148,2873,4060,
Machine: 1
25;0;0;76;1;138,398,640,1052,1474,1484,5706,6192,
26;1;76;182;1;390,640,1472,1474,1933,2102,2103,2104,
19;0;182;291;1;135,321,647,1134,1163,1669,1675,4535,
9;1;291;355;1;144,770,833,858,2643,3462,4369,4370,
17;0;355;444;1;858,1073,3133,4371,4372,4373,4379,4380,
3;1;444;481;1;16,19,20,24,25,38,40,55,
6;0;481;577;1;24,55,374,3381,4012,4262,4456,4457,
71;0;577;581;0;24,27,1294,1906,2220,2407,2471,4353,
32;0;581;681;1;27,479,536,1322,2407,3598,6206,6514,
85;0;681;698;0;15,41,53,57,59,61,1322,2469,
12;0;698;719;1;15,59,1277,1287,1290,1293,1322,3814,
7;0;719;893;1;15,1277,1287,1293,1294,1322,1796,4182,
10;0;1440;1517;1;1268,1287,1292,1322,2421,2844,7399,7594,
61;0;1517;1568;0;577,1268,1287,1292,1322,2421,6694,7339,
24;1;1568;1658;1;255,528,1268,1269,1270,1271,1287,1322,
47;0;1658;1695;0;1269,1287,8838,9020,9021,9022,9023,9024,
26;0;1695;1699;1;198,778,2875,3701,8332,8400,8401,8863,
14;1;1699;1703;1;1085,1587,2968,3421,3852,4010,5779,6445,
83;1;1703;1733;0;1085,1587,2968,7362,7363,7364,7365,7366,
16;0;1733;1775;1;15,16,60,662,979,987,1898,3126,
25;1;1775;1811;1;3,933,1146,1177,1233,1363,1398,2503,
13;1;1811;1902;1;139,288,390,647,1363,2509,3130,4545,
1;0;1902;1914;1;55,139,288,390,504,647,1712,3130,
11;1;1914;1988;1;135,139,647,830,939,1118,3130,5826,
28;0;1988;2057;1;97,135,139,294,301,645,2465,3915,
29;1;2057;2155;1;139,1118,1133,1134,1236,1978,2053,2224,
21;0;2155;2335;1;139,1118,1133,1134,1236,1978,2053,7438,
END;56;290;47;16;440
TIME;72612
