Job;Operation;ToolSet;Processing Time;Priority
0;0;337;44;1
0;1;1220;68;1
1;0;984;173;1
1;1;453;139;1
2;0;592;68;0
2;1;2783;36;0
3;0;1876;157;1
3;1;3389;125;1
4;0;3297;105;1
4;1;1088;23;1
5;0;1062;152;0
5;1;1302;161;0
6;0;2296;14;1
6;1;1174;158;1
7;0;2899;97;0
7;1;1790;36;0
8;0;1288;103;1
8;1;2747;156;1
9;0;3315;94;0
9;1;892;150;0
10;0;1503;97;0
10;1;3271;39;0
11;0;3064;160;1
11;1;3326;74;1
12;0;1525;131;1
12;1;1218;120;1
13;0;770;78;1
13;1;1729;4;1
14;0;2005;76;1
14;1;1321;48;1
15;0;1638;4;0
15;1;1551;137;0
16;0;651;44;1
16;1;366;15;1
17;0;2998;96;0
17;1;1475;4;0
18;0;1223;178;1
18;1;2927;101;1
19;0;2694;121;0
19;1;642;149;0
20;0;1366;99;1
20;1;3009;150;1
21;0;2415;77;1
21;1;695;137;1
22;0;451;176;0
22;1;2895;73;0
23;0;2530;150;0
23;1;3058;14;0
24;0;2021;113;1
24;1;649;115;1
25;0;2956;35;0
25;1;1123;105;0
26;0;2332;36;0
26;1;2183;110;0
27;0;3344;96;0
27;1;235;147;0
28;0;2034;66;0
28;1;355;64;0
29;0;2743;76;1
29;1;2525;45;1
30;0;460;50;0
30;1;3008;148;0
31;0;940;97;1
31;1;2235;152;1
32;0;2389;132;0
32;1;1217;80;0
33;0;3445;8;1
33;1;341;76;1
34;0;447;30;0
34;1;1829;39;0
35;0;362;42;1
35;1;1656;148;1
36;0;1966;131;1
36;1;2246;33;1
37;0;2970;94;0
37;1;1451;4;0
38;0;316;78;1
38;1;2084;73;1
39;0;384;152;0
39;1;2337;29;0
40;0;2777;147;1
40;1;3116;159;1
41;0;320;22;0
41;1;780;31;0
42;0;1737;19;1
42;1;1486;83;1
43;0;563;144;1
43;1;1679;73;1
44;0;3341;64;1
44;1;1096;148;1
45;0;364;100;1
45;1;2820;39;1
46;0;2679;98;0
46;1;634;51;0
47;0;667;155;1
47;1;1714;89;1
48;0;1848;61;1
48;1;2114;164;1
49;0;2948;62;1
49;1;3167;11;1
50;0;2494;180;0
50;1;1994;115;0
51;0;2833;76;1
51;1;2179;165;1
52;0;895;18;0
52;1;2796;90;0
53;0;584;36;0
53;1;1902;14;0
54;0;3078;152;0
54;1;1388;154;0
55;0;2844;171;0
55;1;2419;147;0
56;0;2946;175;1
56;1;1961;123;1
57;0;2983;179;1
57;1;3262;141;1
58;0;1396;98;1
58;1;3441;49;1
59;0;297;36;0
59;1;2976;86;0
60;0;2161;130;1
60;1;1569;119;1
61;0;1535;74;1
61;1;2562;36;1
62;0;2352;68;0
62;1;2984;172;0
63;0;3443;148;0
63;1;2326;30;0
64;0;1749;118;1
64;1;3409;98;1
65;0;2734;99;0
65;1;410;25;0
66;0;2472;22;0
66;1;847;159;0
67;0;2305;98;1
67;1;2236;94;1
68;0;2299;8;0
68;1;3351;80;0
69;0;898;97;0
69;1;2780;5;0
70;0;1243;162;0
70;1;2259;100;0
71;0;1435;157;0
71;1;326;87;0
72;0;830;147;1
72;1;545;173;1
73;0;1786;109;1
73;1;3439;148;1
74;0;888;172;1
74;1;1668;55;1
75;0;771;30;0
75;1;885;163;0
76;0;1318;147;1
76;1;2953;29;1
77;0;1550;33;0
77;1;2880;152;0
78;0;762;120;0
78;1;301;77;0
79;0;2955;157;0
79;1;1442;143;0
80;0;3187;160;0
80;1;2604;42;0
81;0;1984;134;1
81;1;806;14;1
82;0;426;172;0
82;1;1657;55;0
83;0;3358;159;0
83;1;744;98;0
84;0;2900;96;1
84;1;1875;148;1
85;0;2855;161;1
85;1;2434;86;1
86;0;1670;103;1
86;1;788;159;1
87;0;1446;73;0
87;1;1393;5;0
88;0;1034;101;1
88;1;1022;4;1
89;0;1041;6;1
89;1;3136;84;1
90;0;1705;161;1
90;1;1803;131;1
91;0;1883;132;1
91;1;2396;147;1
92;0;315;39;1
92;1;1975;78;1
93;0;1599;150;0
93;1;2942;131;0
94;0;923;84;1
94;1;2045;164;1
95;0;919;180;1
95;1;490;173;1
96;0;1910;28;0
96;1;1832;42;0
97;0;3165;126;1
97;1;777;34;1
98;0;2790;14;1
98;1;1350;5;1
99;0;3192;171;0
99;1;989;161;0
100;0;2961;22;0
100;1;3254;30;0
