Job;Operation;ToolSet;Processing Time;Priority
0;0;2924;179;1
0;1;2924;41;1
1;0;1631;111;1
2;0;2501;73;1
2;1;2501;97;1
3;0;3271;4;1
4;0;415;49;1
4;1;415;94;1
5;0;1599;125;1
5;1;1599;137;1
6;0;666;83;1
7;0;2247;111;1
8;0;1800;12;1
9;0;2936;90;1
9;1;2936;165;1
10;0;1996;104;1
10;1;1996;144;1
11;0;3392;101;1
12;0;1082;92;1
12;1;1082;91;1
13;0;1678;80;1
13;1;1678;6;1
14;0;1013;156;1
15;0;375;144;1
15;1;375;156;1
16;0;2592;87;1
17;0;2305;152;1
18;0;916;105;1
19;0;2651;150;1
19;1;2651;158;1
20;0;3161;4;1
21;0;3192;132;1
21;1;3192;157;1
22;0;3198;36;1
22;1;3198;104;1
23;0;1690;81;1
24;0;268;66;1
25;0;3167;124;1
26;0;722;79;1
27;0;2235;77;1
27;1;2235;87;1
28;0;3105;134;1
29;0;1446;60;1
29;1;1446;21;1
30;0;3421;136;1
31;0;2985;44;1
32;0;2885;74;1
32;1;2885;31;1
33;0;604;131;1
33;1;604;25;1
34;0;2180;39;1
35;0;910;105;1
36;0;3136;168;1
37;0;2512;29;1
38;0;539;134;1
38;1;539;83;1
39;0;1270;45;1
39;1;1270;26;1
40;0;2445;178;1
40;1;2445;98;1
41;0;908;33;1
42;0;1581;129;1
42;1;1581;4;1
43;0;3304;44;1
44;0;3242;95;1
45;0;3385;73;1
46;0;426;83;1
46;1;426;62;1
47;0;875;84;1
47;1;875;44;1
48;0;3250;52;1
49;0;1640;131;1
49;1;1640;132;1
50;0;274;98;1
51;0;1676;96;1
51;1;1676;42;1
52;0;1505;163;1
52;1;1505;113;1
53;0;3361;63;1
54;0;3098;55;1
55;0;898;161;1
56;0;1642;14;1
57;0;2963;121;1
58;0;907;69;1
59;0;2814;34;1
59;1;2814;155;1
60;0;1655;101;1
61;0;2321;160;1
61;1;2321;76;1
62;0;2522;53;1
62;1;2522;110;1
63;0;2006;12;1
63;1;2006;21;1
64;0;1419;30;1
64;1;1419;152;1
65;0;3395;65;1
66;0;3146;66;1
67;0;3437;51;1
68;0;3336;87;1
68;1;3336;142;1
69;0;1884;105;0
70;0;2524;33;0
71;0;2580;69;0
71;1;2580;33;0
72;0;1150;51;0
72;1;1150;154;0
73;0;2856;150;0
73;1;2856;103;0
74;0;584;91;0
74;1;584;33;0
75;0;2862;109;0
76;0;863;64;0
76;1;863;18;0
77;0;1444;10;0
77;1;1444;144;0
78;0;2017;98;0
78;1;2017;86;0
79;0;3352;30;0
80;0;1668;17;0
81;0;2150;50;0
81;1;2150;121;0
82;0;2846;137;0
83;0;2714;109;0
83;1;2714;131;0
84;0;3179;73;0
85;0;1737;45;0
85;1;1737;164;0
86;0;3056;132;0
87;0;868;111;0
88;0;1715;30;0
89;0;2450;87;0
90;0;2077;140;0
91;0;1484;174;0
91;1;1484;175;0
92;0;2769;174;0
93;0;2711;89;0
94;0;2697;4;0
95;0;1038;51;0
95;1;1038;105;0
96;0;1271;32;0
97;0;220;126;0
97;1;220;169;0
98;0;2691;150;0
98;1;2691;32;0
99;0;2807;109;0
100;0;2550;119;0
100;1;2550;151;0
101;0;2930;169;0
101;1;2930;72;0
102;0;1583;156;0
102;1;1583;114;0
103;0;577;63;0
103;1;577;98;0
104;0;3422;175;0
104;1;3422;129;0
105;0;2900;11;0
105;1;2900;45;0
106;0;1458;21;0
107;0;2771;139;0
107;1;2771;145;0
108;0;453;36;0
109;0;3187;94;0
110;0;2979;44;0
110;1;2979;147;0
111;0;1084;73;0
112;0;1244;41;0
112;1;1244;80;0
113;0;2280;113;0
113;1;2280;98;0
114;0;1632;147;0
114;1;1632;36;0
115;0;2458;76;0
115;1;2458;148;0
116;0;2818;95;0
117;0;1498;4;0
118;0;2765;4;0
118;1;2765;103;0
119;0;1831;28;0
119;1;1831;42;0
120;0;1001;111;0
121;0;3100;86;0
122;0;3327;30;0
123;0;3417;105;0
124;0;1425;131;0
124;1;1425;163;0
125;0;1567;90;0
125;1;1567;59;0
126;0;2128;30;0
126;1;2128;42;0
127;0;1404;4;0
128;0;3183;62;0
128;1;3183;157;0
129;0;229;49;0
130;0;3009;14;0
130;1;3009;69;0
131;0;2604;163;0
131;1;2604;177;0
132;0;2034;160;0
132;1;2034;148;0
133;0;3034;161;0
134;0;2992;20;0
135;0;2202;23;0
136;0;946;37;0
136;1;946;94;0
137;0;1393;49;0
138;0;1560;151;0
139;0;529;22;0
140;0;1551;114;0
141;0;3169;47;0
141;1;3169;109;0
142;0;3404;62;0
142;1;3404;134;0
143;0;3117;158;0
143;1;3117;44;0
144;0;2899;4;0
144;1;2899;52;0
145;0;3075;69;0
146;0;2193;87;0
146;1;2193;139;0
147;0;2332;34;0
148;0;1019;36;0
149;0;942;11;0
149;1;942;16;0
150;0;452;9;0
150;1;452;68;0
151;0;2322;33;0
152;0;1129;73;0
153;0;3373;4;0
154;0;966;147;0
155;0;2654;120;0
155;1;2654;18;0
156;0;2689;80;0
156;1;2689;163;0
157;0;698;119;0
158;0;2177;78;0
158;1;2177;4;0
159;0;334;148;0
159;1;334;114;0
160;0;790;49;0
160;1;790;164;0
161;0;1382;151;0
162;0;3065;126;0
163;0;2566;109;0
163;1;2566;170;0
164;0;3239;98;0
164;1;3239;97;0
165;0;2811;32;0
165;1;2811;51;0
166;0;2835;163;0
167;0;2732;57;0
168;0;368;97;0
168;1;368;90;0
169;0;3256;160;0
170;0;1379;36;0
170;1;1379;137;0
171;0;1180;44;0
171;1;1180;143;0
172;0;1022;60;0
173;0;2942;163;0
173;1;2942;68;0
174;0;1146;83;0
175;0;1802;157;0
176;0;830;14;0
176;1;830;41;0
177;0;2743;4;0
177;1;2743;144;0
178;0;1988;4;0
179;0;2381;115;0
179;1;2381;44;0
180;0;297;98;0
180;1;297;61;0
181;0;1720;98;0
181;1;1720;109;0
182;0;2264;172;0
182;1;2264;84;0
183;0;1004;49;0
184;0;2348;143;0
185;0;2933;162;0
185;1;2933;134;0
186;0;2634;29;0
186;1;2634;129;0
187;0;2578;146;0
188;0;358;176;0
189;0;968;137;0
190;0;315;83;0
191;0;2091;76;0
192;0;1055;101;0
193;0;1565;163;0
194;0;2932;49;0
194;1;2932;144;0
195;0;626;150;0
195;1;626;50;0
196;0;1593;94;0
196;1;1593;89;0
197;0;1174;90;0
197;1;1174;18;0
